孔子曰：“六於治一也。	Khổng tử nói: “Lục nghệ xét về trị lý chỉ là một vậy.
礼以节 人，乐以发和，书以道事，诗以达意，易以神化，春秋以义。”太史 公曰：天道恢恢，岂不大哉！	Kinh Lễ dùng để tiết chế con người, Kinh Nhạc để khai mở sự hài hòa, Kinh Thư dùng để thuật lại sự việc, Kinh Thi dùng để biểu đạt ý tứ, Kinh Dịch nói sự biến hóa thần kỳ, Xuân thu dùng để phát huy điều nghĩa.” Thái sử công bàn rằng: Đạo trời lồng lộng, há không lớn ru?
谈言微中，亦可以解纷。	Cách nói bóng gió xa xôi cũng có thể dùng để gỡ rối.
淳于髡者，齐之赘婿 也。	Thuần Vu Khôn Thuần Vu Khôn là người gửi rể ở Tề.
长不满七尺，滑稽多辩，数使诸侯，未尝屈 辱。	Cao chưa đầy bảy thước, khôi hài, giỏi biện luận, nhiều lần đi sứ chư hầu, chưa từng nhún mình chịu nhục.
齐威王之时喜隐，好为淫 乐长夜之饮，沈湎不治，委政卿大夫。	Thời Tề Uy vương, vua Tề thích những lời kín đáo, ham đắm những cuộc vui thâu đêm, chìm trong rượu không lo trị nước, giao chính sự cho khanh đại phu.
百官荒乱，诸侯并侵，国且危 亡，在於旦暮，左右莫敢谏。	Bá quan bê trễ, thác loạn, chư hầu cùng xâm phạm lãnh thổ, nước sắp nguy vong trong sớm chiều, tả hữu không ai dám can gián.
淳于髡说之以隐曰：“国中有大鸟，止 王之庭，三年不蜚又不鸣，不知此鸟何也？”王曰：“此鸟不飞则 已，一飞冲天；不鸣则已，一鸣惊人。”於是乃朝诸县令长七十二 人，赏一人，诛一人，奋兵而出。	Thuần Vu Khôn dùng lời kín đáo nói: “Trong nước có con chim lớn, đậu ở sân của đại vương, ba năm liền không chịu bay, cũng không hót, đại vương biết đó là chim gì không?” Tề vương nói: “Chim đó không bay thì thôi, một khi đã bay thì vút lên tận trời; không hót thì thôi, một khi đã hót thì khiến người kinh ngạc.” Thế rồi tiếp kiến bảy mươi hai Huyện lệnh, Huyện trưởng, thưởng một người, giết một người, khích lệ quân sĩ rồi kéo quân nghinh địch.
诸侯振惊，皆还齐侵地。	Chư hầu kinh sợ, đều trả lại đất đã chiếm được cho Tề.
威行三十 六年。	Uy danh đến ba mươi sáu năm.
语在田完世家中。	Việc này ghi chép trong Điền Hoàn thế gia.
威王八年，楚大发兵加齐。	Tề Uy vương năm thứ tám, nước Sở huy động đại quân đánh Tề.
齐王使淳于髡之赵请救兵，赍金百 斤，车马十驷。	Tề vương sai Thuần Vu Khôn đến Triệu xin quân cứu viện, mang theo trăm cân vàng, mười cỗ xe tứ mã.
淳于髡仰天大笑，冠缨索绝。	Thuần Vu Khôn ngẩng mặt lên trời cả cười, dải mũ đứt tung.
王曰：“先生少之乎？”髡 曰：“何敢！”王曰：“笑岂有说乎？”髡曰：“今者臣从东方来， 见道傍有禳田者，操一豚蹄，酒一盂，祝 曰：‘瓯窭满篝， 汙邪满车， 五穀蕃熟，穰穰满家。’	Tề vương hỏi: “Tiên sinh cho là lễ vật ít ư?” Khôn đáp: “Đâu dám!” Tề vương hỏi: “Cười vì có điều gì cần nói ư?” Khôn đáp: “Nay thần từ hướng đông đến, thấy bên đường có người cúng cầu mùa màng bội thu, tay cầm một giò lợn, một vò rượu, khấn rằng: 'Ruộng xấu đầy cót, ruộng thấp đầy xe, ngũ cốc nặng trĩu, chồng chất đầy nhà.'
臣见其所持者狭而所欲 者奢，故笑之。”於是齐威王乃益赍黄金千溢，白璧十双，车马百 驷。	Thần thấy người đó cúng lễ vật ít mà cầu quá nhiều, cho nên cười y.” Thế là Tề Uy vương bèn đưa thêm nghìn dật vàng, mười chuỗi ngọc trắng, trăm cỗ xe tứ mã.
髡辞而行，至赵。	Khôn từ biệt lên đường, đến Triệu.
赵王与之精兵十万，革车千乘。	Triệu vương cấp cho Khôn mười vạn tinh binh, nghìn cỗ chiến xa.
楚闻之，夜引 兵而去。	Nước Sở nghe tin, đang đêm dẫn quân rút về.
威王大说，置酒後宫，召髡赐之酒。	Tề Uy vương cả mừng, bày tiệc rượu ở hậu cung, triệu Khôn đến, ban rượu cho.
问曰：“先生能饮几何而 醉？”对曰：“臣饮一斗亦醉，一石亦醉。”威王曰：“先生饮一斗 而醉，恶能饮一石哉！	Tề vương hỏi: “Tiên sinh uống được bao nhiêu thì say?” Khôn đáp: “Thần uống một đấu cũng say, một thạch cũng say.” Uy vương hỏi: “Tiên sinh uống một đấu đã say thì sao có thể uống được một thạch?
其说可得闻乎？”髡曰：“赐酒大王之前，执 法在傍，御史在後，髡恐惧俯伏而饮，不过一斗径醉矣。	Ta có thể nghe đạo lý trong đó chăng?” Khôn đáp: “Được ban rượu trước mặt đại vương, quan chấp pháp bên cạnh, quan Ngự sử ở phía sau, Khôn sợ hãi quỳ mọp mà uống, chưa đầy một đấu đã say.
若亲有严 客，髡■韝鞠鯱， 待酒於前，时赐馀沥，奉觞上寿，数起，饮不过二斗径醉 矣。	Nếu song thân có khách quý, Khôn vấn tay áo ngồi xuống, hầu rượu trước mặt, được ban rượu còn lại, nâng chén chúc thọ, nhiều lần đứng lên, uống không quá hai đấu thì say.
若朋友交游，久不相见，卒然相睹，欢然道故，私情相语，饮可 五六斗径醉矣。	Nếu bạn bè giao du, lâu ngày không gặp, bất chợt tụ họp, vui vẻ ôn lại chuyện xưa, cùng nhau thổ lộ niềm riêng, chừng dăm sáu đấu thì say.
