子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
有朊自远方来,不亦乐乎?	Có bạn hữu nơi xa đến thăm, chẳng mừng lắm sao?
人不知而不愠,不亦君子乎?	Người chẳng hiểu ta mà ta không buồn giận họ, thế chẳng phải người quân tử ư?
有子曰:兲为人也孝悌,而好犯上者,鲜矣;不好犯上,而好作乱者,未之有也。	Hữu tử nói: Người biết hiếu thuận với cha mẹ, kính trọng người lớn tuổi hơn mà lại thích cãi cọ xung đột mạo phạm cấp trên là hiếm có; Người không thích mạo phạm cấp trên mà lại thích làm loạn là không có.
君子务本,本立而道生。	Quân tử chuyên tâm lo cái gốc tu thân thì đạo lập thân tự nhiên phát sinh.
孝悌也者,兲为仁之本与？	Hiếu và đễ là cái gốc của đạo Nhân.
子曰：巧言,令色，鲜矣仁。	Khổng tử nói: Người ưa dùng lời nói khéo hay, làm vẻ mặt hiền lành, như vậy chưa hẳn là người có lòng nhân.
曾子曰:吾日三省吾身。	Tăng tử nói: Tôi mỗi ngày xét mình ba điều.
为人谋而不忠乎？	Mưu việc cho người khác thành tâm chưa?
与朋友交而不信乎？	Kết giao bạn bè đã giữ chữ tín chưa?
传,不习乎?	Kiến thức thầy truyền dạy, đã luyện tập chưa?
子曰:道千乘之国,敬事而信,节用而爱人,使民以时.	Khổng tử nói: Lãnh đạo quốc gia có nghìn cỗ xe, phải giữ điều tín mọi việc, tiết kiệm chi tiêu, yêu mến dân, sử dụng sức dân theo thời gian thích hợp.
子曰:弟子,入则孝,出则悌，谨而信，汎爱众而亲仁，行有餘力,则以学文.	Khổng tử nói: Này trò, ở nhà phải hiếu thuận với cha mẹ, ra ngoài tôn kính người hơn tuổi, cẩn thận giữ điều tín, gần gũi thân cận với người nhân đức, được như vậy mà còn dư sức thì học tập tri thức nữa.
