供佛天臺香。	CUNG TIẾN DỰNG CÂY HƯƠNG.
蓋聞乾坤肇造，竺國英靈，誠心感應，所願皆成。	Thường nghe: Đất trời khởi dựng, nước Phật anh linh, thành tâm cảm ứng, nguyện ước sẽ thành.
茲有南策府，先明縣，砧溪社青龍寺興功梁輝鑑_，意欲善緣，發其家財興造鍾閣壹座，又造作香臺壹柱，可以求七祖九玄同類，善緣証無上道，廣開盡藏，具世香筵，與崇盛世。	Chùa Thanh Long thuộc xã Châm Khê, huyện Tiên Minh, phủ Nam Sách. Ông Lương Huy Giám muốn phát thiện duyên, bỏ của nhà ra xây dựng một toà gác chuông, lại tạo tác một cây hương đá, để cầu thất tổ cửu huyền cùng được dựa vào thiện duyên, chứng đạo vô thượng, mở rộng ẩn tàng, kinh kệ khói hương, hưng sùng thịnh thế.
上祝皇朝億載千秋，天下太平，國家永安磐石，民飽虞舜之時，國勢唐堯之治，又及興功會主，等皆發菩提之意，士占題名金榜年年及第登科，農盛禾穀豐接代代永傳繼世，工則有位有名，商則得祿得財，開仁種福，祖宗業創積善慶家，子孫永傳苗裔，功德員成，願情如意，香臺立寺，以為代_代錫興功會主壇那，諸人_等，壽考康寧，共享平安之_福。	Trên chúc cho Hoàng triều muôn đời mãi mãi, dưới chúc cho thiên hạ thái bình, đất nước vững bền như bàn thạch. Dân cày cấy ấm no như đời vua Ngu Thuấn, nước thịnh trị tựa thuở Đường Nghiêu. Lại ban đến cho những người hưng công hội chủ phát ý Bồ đề, kẻ sĩ thì chiếm bảng vàng, nghề nông tươi tốt, truyền mãi muôn đời. Người làm thợ có danh có vị, kẻ buôn bán đắc tài đắc lộc. Mở nền nhân trồng cây phúc, tổ tiên khai sáng trâm anh. Tích điều thiện vui nghiệp nhà, con cháu mãi truyền miêu duệ. Công đức viên thành, nguyện tình như ý. Cột hương sừng sững, để mãi muôn đời. Những người hưng công hội chủ sẽ được hưởng phúc lành bình an khoẻ mạnh.
壹會主荆門府筴山縣敬主社阮仲欖石匠恭進香臺壹柱。	Hội chủ: Thợ đá Nguyễn Trọng Lãm người xã Kính Chủ, huyện Giáp Sơn, phủ Kinh Môn cung tiến một cây hương đá.
皇朝明命拾四年歲次癸巳貳月_拾五日吉時立香臺。	Dựng cột hương giờ lành ngày 25 tháng 2 năm Quý Tỵ, niên hiệu Minh Mệnh thứ 14 (1846).
壹興功梁輝鑑，妻陳氏綏，男子梁輝敬，梁輝榜全家等再修造石橋貳間在前青龍寺，壹間在貢坦處。	Hưng công toàn gia đình Lương Huy Giám, vợ là Trần Thị Tuy, con trai là Lương Huy Kính, Lương Huy Bảng xây dựng 2 gian cầu đá, một gian trước chùa Thanh Long, một gian ở xứ Cống Đất.
青龍碑記崇修佛寺。	BIA TRÙNG TU CHÙA THANH LONG.
蓋聞乾坤肇造，竺國英靈，誠心感應，所願皆成。	Thường nghe: Đất trời khởi dựng, nước Phật anh linh, thành tâm cảm ứng, sở nguyện tất thành.
茲南策府，先明縣，大公總，砧溪社古跡名藍青龍寺與慶靈寺，經年頹弊矣。	Nay hai ngôi chùa Thanh Long và Khánh Linh là chốn danh lam cổ tích thuộc xã Châm Khê, tổng Đại Công, huyện Tiên Minh, phủ Nam Sách trải nhiều năm đổ nát.
今此本社舊社長梁輝鑑，妻陳氏綏男子舊社長梁輝琦，妻阮氏本，妾阮氏效。	Nay Cựu Xã trưởng của xã này là Lương Huy Giám, vợ là Trần Thị Tuy, con trai là cựu Xã trưởng Trần Huy Cơ, và vợ là Nguyễn Thị Bản, người thiếp là Nguyễn Thị Hiệu.
舊社長梁輝榜，梁輝明，梁輝鎊。	Cựu Xã trưởng Lương Huy Bảng, Lương Huy Minh, Lương Huy Bàng.
