第十二回。	Hồi thứ mười hai.
阮阃臣投内地。孙都督过南关。	Lê sứ thần qua đất Bắc xin quân. Tôn đốc bộ tới ải Nam truyền hịch.
且说参知政事黎惟亶，副都御史陈名案等由山中间路，行至和乐。值西将都督阮文艳游兵巡哨，讥察太密，非有文凭者尽被拦阻。	Lại nói, viên tham tri chính sự Lê Duy Đản và viên phó đô ngự sử Trần Danh Án theo đường tắt trong núi đi đến vùng Hoà Lạc (thuộc huyện Hữu Lũng, Lạng Sơn), gặp lúc quân do thám của viên đô đốc Tây Sơn Nguyễn Văn Diệm đi tuần, xét hỏi rất ngặt, người nào không có giấy tờ đều bị ngăn trở.
二人乃装作商人样，附从北客缘山行，径投入内地。	Hai người bèn cải trang làm người lái buôn, nhập theo bọn khách trú (tiếng đương thời, dùng để chỉ những người Hoa kiều ngụ cư ở Việt Nam), men núi đi tắt sang Trung Hoa, rồi nhờ quân của viên quan giữ cửa ải đưa đến doanh phủ Thái Bình (thuộc Quảng Tây).
因守隘员军求达至太平府堂，亶等拜伏于廷，叫称：「本国城自丙午年被西山贼阮惠攻破，国君殂落。	Bọn Đản lạy rập dưới sân mà nói: - Kinh thành của nước chúng tôi từ năm Bính Ngọ (1786), bị giặc Tây Sơn là Nguyễn Huệ đánh phá, quốc vương qua đời, cháu nối nghiệp do dòng chính thống lên làm chủ việc tế tự.
嗣孙以嫡派主祀事，往丁未冬，惠复遣将来攻，嗣君出亡，大小诸臣亦皆播山海。	Mùa đông năm Đinh vị (1787), Huệ lại sai tướng ra đánh. Tự quân phải chạy trốn ra ngoài, các bề tôi lớn nhỏ đều phiêu bạt nơi sườn non góc biển.
居者被他拿捕，行者被他遮截，获即杀之。	Người ở lại bị chúng bắt bớ, người đi ra bị chúng ngăn chặn, hễ chúng bắt được là giết chết liền.
嗣孙前奔山南，与一二从臣纠集兵民，将图收复，又为他所攻破，奔归清华。	Trước đây, tự quân của chúng tôi chạy vào Sơn Nam cùng một vài người bề tôi tập hợp quân dân, tính việc khôi phục, lại bị chúng đánh phá, phải chạy vào trấn Thanh Hóa.
今因尚义之民，情犹戴旧，咸愿潜归珥北，以事奔告天朝，仰蒙轸及下藩，提兵为援。	Nay nhân khi dân mộ nghĩa còn mến chủ cũ, đều muốn tự quân của chúng tôi lẻn về phía bắc sông Nhĩ Hà, đem tình hình báo với thiên triều, ngước mong thương đến nước chúng tôi, đem quân cứu viện để cho tự quân của chúng tôi có thể khởi sự ngay ở trong nước, rồi dựa vào uy thế của thiên triều mà sai khiến các nghĩa sĩ .
即可于国内举事，凭仗天威，驱策义士，克复乃有其机。	Như vậy thì việc khôi phục đất nước mới mong có cơ hội.
今嗣孙现住凤眼地方，使卑等潜往，计程到关不过四日。卑等惧为贼所获，迂途跋涉，逾月始达。	Hiện nay tự quân của chúng tôi đóng ở huyện Phượng Nhãn, sai chúng tôi lẻn lút sang đây. Đường đi đến cửa ải, tính ra chỉ có bốn ngày nhưng vì chúng tôi sợ giặc bắt, phải vượt suối trèo non, đi vòng theo đường quanh co, nên hơn một tháng mới tới nơi.
