淮阴侯韩信者，淮阴人也。	Hoài Âm hầu Hàn Tín, người Hoài Âm.
始为布衣时，贫无 行，不得推择为吏，又不能治生 商贾，常从人寄食饮，人多厌之者，常数从其下乡 南昌亭长 寄食，数月，亭长妻患之，乃晨炊蓐食。	Ban đầu khi còn mặc áo vải, nghèo không giữ đức hạnh, không được cất nhắc làm quan, lại không biết buôn bán mưu sinh, thường theo người để được ăn uống, ai nấy đều chán ghét. Nhiều lần theo Đình trưởng Nam Xương ở Hạ Hương để kiếm miếng ăn, được mấy tháng, vợ Đình trưởng lo phiền, bèn nấu cơm từ sáng sớm, lên giường ăn.
食时信往，不为具食。	Đang ăn thì Tín tới, không cho cùng ăn.
信亦知其 意，怒，竟绝去。	Tín cũng biết ý, giận, tuyệt giao rồi đi.
信钓於城下，诸母漂， 有一母见信饥，饭信，竟漂数 十日。	Tín câu cá dưới thành, các bà đến đó đập vải, có một người thấy Tín đói, cho Tín ăn mấy mươi ngày đến khi đập vải xong.
信喜，谓漂母曰：“吾必有以重报母。”母怒曰：“大丈夫不 能自食，吾哀王孙而进食， 岂望报乎！”淮阴屠中少年有侮信者，曰：“若虽长大，好带刀剑，中情怯 耳。”众辱之曰：“信能死，刺我；不能死，出我袴下。”於是信孰视之，俛出袴下，蒲 伏。	Tín mừng, bảo người đàn bà đập vải rằng: “Tôi nhất định có trọng lễ báo đáp bà.” Người đàn bà giận nói: “Đại trượng phu không thể tự kiếm miếng ăn, ta thương xót nên mời ăn, há mong báo đáp ư?” Trong đám đồ tể ở Hoài Âm Có chàng nọ khinh Tín, nói: “Mày tuy cao lớn, thích đeo dao kiếm, trong lòng lại khiếp nhược.” Sỉ nhục Tín trước mặt mọi người: “Tín, mày không sợ chết, hãy đâm tao, còn sợ chết, hãy luồn qua háng tao.” Thế là Tín nhìn hắn chằm chằm, rạp mình bỏ qua háng.
一市人皆笑信，以为怯。	Người trong chợ đều cười Tín, cho là nhát gan.
及项梁渡淮，信杖剑从之，居戏下， 无所知名。	Khi Hạng Lương qua sông Hoài, Tín chống kiếm đi theo, đứng dưới cờ, không ai biết đến.
项梁败，又属项羽，羽以为郎中。	Hạng Lương thất bại, lại theo Hạng Vũ, Vũ cho làm Lang trung.
数以策干项 羽，羽不用。	Nhiều lần dâng kế cho Hạng Vũ, Vũ không dùng.
汉王之入蜀，信亡楚归汉，未得知名，为连敖。	Hán vương vào đất Thục, Tín trốn Sở về Hán, chưa được ai biết đến, làm chức Liên ngao.
坐法 当斩，其辈十三人皆已斩，次至信，信乃仰视，適见滕公，曰：“上 不欲就天下乎？	Phạm tội đáng chém, mười ba người cùng phạm tội đã bị chém, đến lượt Tín, Tín ngẩng đầu nhìn lên, đúng lúc thấy Đằng công, bèn hỏi: “Hoàng thượng không muốn có thiên hạ ư?
何为斩壮士！”滕公奇其言，壮其貌，释而不斩。	Sao lại chém tráng sĩ?” Đằng Công nghe vậy lấy làm lạ, thấy dung mạo hiên ngang, thả ra không chém nữa.
与 语，大说之。	Cùng nói chuyện, rất thích Tín.
言於上，上拜以为治粟都尉，上未之奇也。	Tâu lên Hoàng thượng, Hoàng thượng phong làm Đô úy coi việc thóc lúa, chưa thấy có tài gì lạ.
信数与萧何语，何奇之。	Tín nhiều lần nói chuyện với Tiêu Hà, Hà cho là kỳ tài.
至南郑，诸将行道亡者数十人，信度何 等已数言上，上不我用，即亡。	Đến Nam Trịnh, các tướng đi đường trốn mấy chục người, Tín thấy bọn Hà nhiều lần nói với Hoàng thượng, Hoàng thượng không dùng mình, liền trốn.
何闻信亡，不及以闻，自追之。	Hà nghe tin Tín trốn, không kịp báo lại, đích thân đuổi theo.
人有 言上曰：“丞相何亡。”上大怒，如失左右手。	Có người nói với Hoàng thượng: “Thừa tướng Tiêu Hà bỏ trốn.” Hoàng thượng cả giận, thấy như mất tay trái tay phải.
居一二日，何来谒 上，上且怒且喜，骂何曰：“若亡，何也？”何曰：“臣不敢亡也， 臣追亡者。”上曰：“若所追者谁何？”曰：“韩信也。”上复骂 曰：“诸将亡者以十数，公无所追；追信，诈也。”	Được một hai hôm, Hà về yết kiến Hoàng thượng, Hoàng thượng vừa giận vừa mừng, mắng Hà rằng: “Sao ngươi bỏ trốn?” Hà đáp: “Thần không dám trốn, thần đuổi theo người bỏ trốn.” Hoàng thượng hỏi: “Ngươi đuổi theo ai?” Đáp: “Là Hàn Tín.” Hoàng thượng lại mắng: “Các tướng hàng chục người trốn, ngươi không đuổi bắt, lại đuổi theo Tín, nói láo.” Hà đáp: “Các tướng dễ tìm, còn Tín, là quốc sĩ vô song.
何曰：“诸将易 得耳。	
至如信者，国士无双。王必欲长王汉中，无所事信； 必欲争天下，非信无所与计事 者。顾王策安所决耳。”王曰：“吾亦欲东耳，安能郁郁久居此 乎？”何曰：“王计必欲东，能用信，信即留；不能用，信终亡 耳。”	Bệ hạ muốn làm vua mãi ở Hán Trung, không cần đến Tín; còn muốn tranh giành thiên hạ, không có Tín thì không ai để tính kế.
王曰：“吾为公以为将。”何曰：“虽为将，信必不留。”王 曰：“以为大将。”何曰：“幸甚。”於是王欲召信拜之。	Xin bệ hạ quyết định theo cách nào?” Nhà vua nói: “Ta cũng muốn sang đông, sao chịu ấm ức ở mãi chỗ này được.” Hà nói: “Bệ hạ quyết muốn sang đông, nếu dùng Tín, Tín sẽ ở lại, nếu không dùng, Tín ắt trốn thôi.” Hoàng thượng nói: “Ta nghe lời ông, cho làm tướng quân.” Hà nói: “Tuy làm tướng, Tín ắt không ở.” Hoàng thượng nói: “Cho làm đại tướng.” Hà đáp: “May quá!” Thế rồi Hoàng thượng muốn triệu Tín đến phong chức.
何 曰：“王素慢无礼，今拜大将如呼小兒耳，此乃信所以去也。	Hà nói: “Bệ hạ vốn ngạo mạn không theo lễ, nay phong đại tướng như gọi đứa trẻ đến, như thế Tín sẽ bỏ đi.
王必欲 拜之，择良日，斋戒，设坛场，具礼，乃可耳。”王许之。	Bệ hạ muốn phong cho ông ta, cần chọn ngày lành, trai giới, lập đàn tràng, lễ nghi đầy đủ, như thế mới được.” Hoàng thượng đồng ý.
诸将皆 喜，人人各自以为得大将。	Các tướng đều mừng, ai nấy như tự cho mình được làm đại tướng.
至拜大将，乃韩信也，一军皆惊。	Đến khi phong đại tướng, lại là Hàn Tín, toàn quân kinh ngạc.
信拜礼毕，上坐。王曰：“丞相数言将军，将军何以教寡人计 策？”信谢，因问王曰：“今东乡争权天下，岂非项王邪？”汉王 曰：“然。”曰：“大王自料勇悍仁彊孰与项王？”	Xong lễ phong, Tín từ trên đàn xuống ngồi, nhà vua hỏi: “Thừa tướng nhiều lần nói về tướng quân, tướng quân có kế gì dạy bảo quả nhân chăng?” Tín tạ từ, nhân đó hỏi nhà vua: “Nay sang đông tranh quyền thiên hạ, chẳng phải tranh với Hạng vương ư?” Hán vương đáp: “Đúng thế.” Tín nói: “Đại vương tự thấy dũng mãnh, hung tợn, nhân hậu, mạnh mẽ của mình so với Hạng Vương thế nào?” Hán vương ngồi lặng hồi lâu, nói: “Không bằng được.” Tín lại vái chúc mừng rằng: “Tín cũng cho đại vương không bằng.
汉王默然良久， 曰：“不如也。”信再拜贺曰：“惟信亦为大王不如也。然臣尝事 之，请言项王之为人也。	Nhưng thần từng thờ ông ta, xin nói con người Hạng vương.
项王喑噁 叱咤， 千人皆废， 然不能任属贤将，此特匹夫之勇耳。	Hạng vương hò hét quát tháo, ngàn người khiếp sợ, nhưng không biết dùng tướng giỏi, đó là dũng của hạng thất phu thôi.
项王见 人恭敬慈爱，言语呕呕， 人有疾病，涕泣分食 饮，至使人有功当封爵者，印刓敝，忍不能予， 此所谓妇人之仁也。	Hạng vương gặp người thì cung kính mến yêu, lời nói ôn tồn, người nào đau ốm thì nhỏ nước mắt chia đồ ăn thức uống, còn người có công đáng được phong tước, ấn tín lại để mẻ sứt không ban cho, đó là lòng nhân của đàn bà vậy.
项王虽霸天下而臣诸侯，不居关 中而都彭城。	Hạng vương tuy xưng bá thiên hạ, thần phục chư hầu, không ở Quan Trung mà đóng đô ở Bành Thành.
有背义帝之约，而以亲爱王，诸侯不平。	Bội ước với Nghĩa đế, rồi phong vương cho thân tín, chư hầu bất bình.
诸侯之见项王 迁逐义帝置江南，亦皆归逐其主而自王善地。	Chư hầu thấy Hạng vương đuổi Nghĩa đế ra Giang Nam, cũng đều về đuổi chúa mình, chiếm đất tốt tự lập làm vua.
项王所过无不残灭者， 天下多怨，百姓不亲附，特劫於威彊耳。	Những chỗ Hạng vương từng qua, không chỗ nào không tàn sát, thiên hạ ai oán, trăm họ không thân cận theo về, chỉ do khiếp sợ uy mãnh mà thôi.
名虽为霸，实失天下心。	Danh nghĩa tuy là bá chủ, kỳ thực mất lòng thiên hạ.
故 曰其彊易弱。	Nên nói ông ta mạnh mà dễ làm cho yếu.
今大王诚能反其道：任天下武勇，何所不诛！	Nay nếu đại vương làm ngược lại cách của ông ta, trọng dụng dũng sĩ thiên hạ, đánh đâu chẳng diệt được!
以天下城邑封功臣，何所不服！	Đem thành ấp thiên hạ phong cho công thần, ai chẳng phục!
以义 兵从思东归之士，何所不散！	Đem nghĩa binh cùng kẻ sĩ muốn về đông, chỗ nào chẳng đánh tan!
且三秦王为秦将，将秦子弟数岁矣，所杀亡不 可胜计，又欺其众降诸侯，至新安，项王诈阬秦降卒二十馀万，唯独 邯、欣、翳得脱，秦父兄怨此三人，痛入骨髓。	Vả vua Tam Tần là tướng Tần, đem con em Tần chinh chiến mấy năm, giết người nhiều không kể xiết, lại lừa dối dân chúng đầu hàng chư hầu, đến Tân An, Hạng vương lừa chôn sống hơn hai mươi vạn hàng quân của Tần, chỉ có bọn Hàm, Hân, Ý thoát được, cha anh nước Tần oán ba người ấy, thấu tận xương tủy.
