暹羅，古赤土國，後分爲二。一曰暹，一曰羅斛。	Khi xưa Xiêm La là nước Xích Thổ, sau chia làm 2 nước, một nước gọi là Xiêm, một nước là La Hộc.
暹土瘠，不宜稼；羅斛地平衍，稼多獲，暹常仰給焉。	Nước Xiêm đất xấu không thích hợp với việc cấy lúa. Nước La Hộc bằng phẳng, tốt màu cấy lúa, thu hoạch nhiều, nước Xiêm phải trông vào nước La Hộc cung cấp cho thóc gạo.
隋世，使至其國，知其國王姓瞿曇氏云。	Sứ nhà Tùy đến nước ấy, biết quốc vương là họ Cồ Đàm.
元初常入貢，其後羅斛彊，併暹有之，遂稱暹羅斛國。	Đầu đời Nguyên thường vào cống. Về sau nước La Hộc mạnh thôn tính cả nước Xiêm, gọi là nước Xiêm La Hộc.
至明初，又入貢，賜之暹羅國王之印，暹羅之稱自此始。	Đến đầu đời Minh lại vào cống, ban cho ấn "Xiêm La Quốc vương" tên gọi là Xiêm La bắt đầu từ đó.
隆慶中，其隣國東蠻牛求婚不得，慙怒，大發兵，攻破其國，王自經，擄其世子以歸，自是爲東蠻牛所制。其次子襲號，勵志復仇。	Trong năm Long Khánh (106) có nước láng giềng là Đông Man Ngưu muốn cầu hôn nhưng không được, nên giận, bèn đem đại binh đánh phá, Quốc vương tự thắt cổ chết, bắt Thế tử đem về. Từ đó nước Xiêm bị nước Đông Man Ngưu áp chế, người con thứ nối ngôi quyết chí phục thù.
萬曆閒，其國彊大，攻破東蠻牛，降眞臘，遂覇諸蠻。	Khoảng năm Vạn Lịch (107), nước ấy mạnh lớn lên, đánh phá được Đông Man u, hàng được nước Chân Lạp, bèn làm bá chủ các Man.
本朝睿宗丙戌元年，緬甸舉兵攻破其國，虜暹瘋王〈暹王得癩疾，國人稱爲瘋王。	Năm Bính Tuất thuộc bản triều Duệ Tông năm đầu (1766), nước Miến Điện đem quân đánh phá nước ấy bắt Xiêm Phong vương (vua Xiêm bị bệnh hủi, người trong nước gọi là Phong vương) và người con trưởng là Chiêu Đốc.
〉及長子昭督其，次子昭侈腔投眞臘，昭翠奔河僊。	Con thứ là Chiêu Sỉ Xoang chạy sang Chân Lạp và Chiêu Thúy chạy sang Hà Tiên.
茫薩〈地名〉長鄭國英〈一名生〉，淸潮洲人，其父偃流寓于暹，爲茫薩長。偃死，國英襲職，號丕雅〈暹官名〉新，乘暹國空虛，起兵襲取其地，自稱暹國王，索貢於眞臘。	đứng trưởng đất Man Tát là Trịnh Quốc Anh, người ở Triều Châu nước Thanh, bố tên là Yển, phiên lưu sang ngụ nước Xiêm làm trưởng ở Man Tát, Yển chết, Quốc Anh nối hiệu là Phi Nhã (tên quan nước Xiêm), nhân nước Xiêm đương lúc không ai cai quản, đem binh đánh úp lấy đất cát tự xưng là Quốc vương nước Xiêm, bắt nước Chân Lạp phải cống.
匿尊以非暹世系，不納。	Nặc Tôn cho Quốc Anh không phải dòng nước Xiêm không chịu cống.
