乐毅者，其先祖曰乐羊。	Nhạc Nghị Nhạc Nghị, tiên tổ là Nhạc Dương.
乐羊为魏文侯将，伐取中山， 魏文侯封乐羊以灵寿。	Nhạc Dương làm tướng quân cho Ngụy Văn hầu, đánh chiếm Trung Sơn, Ngụy Văn hầu phong Nhạc Dương đất Linh Thọ.
乐羊死，葬於灵寿，其後 子孙因家焉。	Nhạc Dương chết, táng ở Linh Thọ, con cháu nhân đó làm nhà ở đấy.
中山复国，至赵武灵王时复灭中山， 而乐氏後有乐毅。	Trung Sơn phục quốc, đến thời Vũ Linh vương, Triệu lại diệt Trung Sơn, hậu duệ họ Nhạc có Nhạc Nghị.
乐毅贤，好兵，赵人举之。	Nhạc Nghị hiền minh, thích việc quan binh, được người Triệu tiến cử.
及武灵王有沙丘之乱， 乃去赵適魏。	Đến thời Vũ Linh vương xảy ra loạn Sa Khưu, bèn bỏ Triệu đến Ngụy.
闻燕昭王以子之之乱而齐大 败燕，燕昭王怨齐，未尝一日而忘报齐也。	Nghe nói Yên Chiêu vương nhân loạn Tử Chi rồi bị Tề đánh cho đại bại, Yên Chiêu vương oán Tề, không ngày nào quên báo thù Tề.
燕国小，辟远，力不能 制，於是屈身下士，先礼郭隗 以招贤者。	Nước Yên nhỏ, ở miền xa xôi, sức không thể khống chế [Tề], vì thế [Yên Chiêu vương] hạ mình trọng đãi kẻ sĩ, trước dùng lễ đãi Quách Ngỗi nhằm chiêu nạp người hiền.
乐毅於是为魏昭王使於燕，燕王以客礼待之。	Thế rồi Nhạc Nghị làm sứ giả cho Ngụy Chiêu vương đến Yên, Yên vương đối đãi bằng lễ tân khách.
乐毅 辞让，遂委质为臣，燕昭王以为亚卿，久之。	Nhạc Nghị khéo léo từ tạ, nhún mình làm kẻ bề tôi, Yên Chiêu vương cho làm Á khanh, giữ chức trong thời gian dài.
当是时，齐湣王彊，南败楚相唐眛於重丘， 西摧三晋於观津， 遂与 三晋击秦，助赵灭中山，破宋，广地千馀里。	Bấy giờ, Tề Mẫn vương mạnh, nam đánh bại Tể tướng nước Sở là Đường Muội ở Trọng Khưu, tây bẻ gãy quân Tam Tấn ở Quan Tân, rồi cùng Tam Tấn đánh Tần, giúp Triệu diệt Trung Sơn, phá Tống, mở đất rộng hơn nghìn dặm.
与秦昭王争重为帝，已 而复归之。	Cùng Tần Chiêu vương tranh nhau xưng đế, rồi lại xưng vương như cũ.
诸侯皆欲背秦而服於齐。	Chư hầu đều muốn quay lưng với Tần để thần phục Tề.
湣王自矜，百姓弗堪。	Mẫn vương tự kiêu, trăm họ không chịu nổi.
於是燕昭 王问伐齐之事。乐毅对曰：“齐，霸国之馀业也，地大人众，未易独 攻也。	Yên Chiêu vương hỏi việc đánh Tề, Nhạc Nghị đáp: “Tề là cơ nghiệp nước bá chủ để lại, đất rộng người đông, chưa dễ đánh được.
王必欲伐之，莫如与赵及楚、魏。”於是使乐毅约赵惠文王， 别使连楚、魏，令赵嚪说秦 以伐齐之利。	Nếu đại vương ắt phải đánh, chẳng bằng liên kết với Triệu cùng Sở và Ngụy.” Thế là sai Nhạc Nghị giao ước cùng Huệ Văn vương nước Triệu, phái sứ thần khác đi liên kết với Sở và Ngụy, khiến Triệu đem cái lợi của việc đánh Tề để dụ Tần.
诸侯害齐湣王之骄暴，皆争合 从与燕伐齐。	Chư hầu bị tổn hại bởi thói kiêu căng tàn bạo của Tề Mẫn vương, đều tranh hợp tung cùng Yên đánh Tề.
乐毅还报，燕昭王悉起兵，使乐毅为上将军，赵惠文王 以相国印授乐毅。	Nhạc Nghị về báo, Yên Chiêu vương cất hết quân, sai Nhạc Nghị làm thượng tướng quân, Văn Huệ vương nước Triệu đem ấn Tướng quốc trao cho Nhạc Nghị.
乐毅於是并护赵、楚、韩、 魏、燕之兵以伐齐，破之济西。	Nhạc Nghị liền cầm quân Triệu, Sở, Hàn, Ngụy, Yên đánh Tề, phá Tề ở tây sông Tế.
诸侯兵罢归，而燕军乐毅独追，至于 临菑。	Chư hầu bãi binh rút về, còn quân Yên do Nhạc Nghị chỉ huy tiếp tục truy đuổi đến Lâm Truy.
齐湣王之败济西，亡走，保於莒。	Tề Mẫn vương thua ở tây sông Tế, chạy trốn, giữ đất Cử.
乐毅独留徇齐，齐皆城守。	Riêng Nhạc Nghị lưu lại đánh Tề, Tề đều dựa thành chống giữ.
乐毅攻入临菑，尽取齐宝财物祭器输之燕。	Nhạc Nghị đánh vào Lâm Truy, thu hết bảo vật, đồ tế khí của Tề chở về Yên.
燕昭王大说，亲至济上劳 军，行赏飨士，封乐毅於昌国， 号为昌国君。	Yên Chiêu vương cả mừng, đích thân đến Tế Thủy úy lạo quân đội, khao thưởng tướng sĩ, phong Nhạc Nghị đất Xương Quốc, hiệu là Vương Quốc quân.
於是 燕昭王收齐卤获以归，而使乐毅复以兵平齐城之不下者。	Yên Chiêu vương thu những thứ lấy được rồi về, lại sai Nhạc Nghị đem quân đánh những thành chưa hạ được ở Tề.
乐毅留徇齐五岁，下齐七十馀城，皆为郡县以属燕，唯独莒、即 墨未服。	Nhạc Nghị lưu lại Tề năm năm, hạ hơn bảy mươi thành của Tề, đều lập thành quận huyện của nước Yên, duy còn thành Cử và Tức Mặc chưa hàng phục được.
会燕昭王死，子立为燕惠王。	Đúng lúc Yên Chiêu vương chết, con là Yên Huệ vương lên thay.
惠王自为太子 时尝不快於乐毅，及即位，齐之田单闻之，乃纵反间於燕，曰：“齐 城不下者两城耳。	Huệ vương khi còn là Thái tử vốn không thích Nhạc Nghị, tới khi lên ngôi, Điền Đan nước Tề biết chuyện, bèn phái người thực hiện kế ly gián, nói: “Tề chỉ còn hai thành chưa bị hạ.
然所以不早拔者，闻乐毅与燕新王有隙，欲连兵且 留齐，南面而王齐。	Nhưng sở dĩ chưa sớm hạ, vì nghe Nhạc Nghị có hiềm khích với tấn vương nước Yên, muốn lưu quân lại Tề, quay mặt về nam mà làm vua Tề.
