第十六回。	Hồi thứ mười sáu.
祭苓塘清使受欺。	Tế Linh đường, sứ Thanh bị lừa.
葬燕京黎皇饮恨。	Chết Yên Kinh, vua Lê nuốt hận.
且说北平王将谋北伐，与将佐诸臣日夜商议。皆曰：「宜实民数以简卒徒，正当今急务也。」北平王以为然。	Lại nói, vua Quang Trung toan lập mưu đánh Trung Quốc, đêm ngày bàn bạc với các tướng tá, họ đều nói: - Nên kê sổ dân cho đúng để kén quân lính, đó là việc cần kíp ngày nay.
乃下令诸镇，各督社民改修丁籍，行信令牌，驱民登籍，监考究问。	Vua Quang Trung lấy làm phải, bèn hạ lệnh cho các trấn phải đốc thúc các xã sửa lại sổ đinh, phát "tín bài" (thẻ làm tin) để thống kê dân chúng vào sổ, rồi cử người coi sóc xét hỏi.
诸县总长乡以坚执隐匿坐斩者，往来道路，民皆苦之。	Tổng trưởng các huyện có nhiều người vì cố tình giấu giếm mà bị chém. Việc đi lại trên đường, nhân dân đều lấy làm khổ.
其诸县分知，各集簿内民，照给每人一牌，内印「天下大信」四篆字，四旁回文，写姓名贯址，押手左指为验。	Viên phân tri ở các huyện nhóm họp số dân đã ghi trong sổ lại, chiếu sổ cấp cho mỗi người một cái thẻ; giữa thẻ in bốn chữ triện "Thiên hạ đại tín" (niềm tin lớn của thiên hạ), bốn mép chung quanh thì viết họ tên quê quán của những người có thẻ và in dấu ngón tay trỏ bên trái để làm bằng cứ.
人各带之，遇讯问辄出呈，号回信牌。	Mọi người đều phải đeo thẻ ấy, gặp khi xét hỏi thì đưa ra trình; đó gọi là "tín bài".
无牌为漏民，收充房军而罪其总长社长。	Ai không có thẻ, tức là dân lậu, sẽ bị bắt đem sung quân (bị đày đi các nơi biên giới xa xôi để làm lính thú) và bắt tội các người tổng trưởng, xã trưởng của họ.
丁籍既成，仍籍三丁取一兵，复令分管员将兵往社长围捕查点，民间骚扰，多于山涧中逃匿。	Sổ đinh thành rồi, vẫn theo lệ ba đinh bắt một người lính. Lại sai các viên phân quản đem quân đến các xã vây bắt, tra xét. Vì thế, dân gian nhốn nháo, nhiều người lẩn trốn vào các khe núi.
有乂安石河玉田人陈芳昺，乃故黎进士陈名做之子，不肯带牌。	Có người ở làng Ngọc Điền, huyện Thạch Hà, trấn Nghệ An, tên là Trần Phương Bính (nhiều sách chép là Trần Danh Bính), nguyên là con viên tiến sĩ đời Lê xưa là Trần Danh Tố, không chịu đeo thẻ.
镇臣阮耀贤而释之。	Trấn thủ Nguyễn Diệu khen và tha cho không bắt tội.
那芳昺民聪敏夙成，雅负气节。尝赋诗以明志，有「忠肠暗积乾坤恨，面目空惭日月居」之句。	Bính là một người bản tính thông minh nhanh nhẹn, lại sẵn có khí tiết, thường làm thơ để tỏ chí của mình, có hai câu rằng: Tim gan chất chứa hờn trời đất, Mặt mũi đành trơ với tháng ngày.
后地方诸贡士及土豪等，聚众于天禄之鹅溪，谋袭取乂安城，推芳昺为军师。	Về sau, các cống sĩ và các hào mục địa phương họp quân ở làng Nga Khê, huyện Thiên Lộc, định đánh úp thành Nghệ An. Họ bèn suy tôn Bính làm quân sư.
至鸿山平浪社，与西贼交战败绩，芳昺登鸿山绝岭，手题诗于寺壁云：「报国无长策，随身有短刀。	Bọn Bính kéo quân đến xã Bình Lãng, ven núi Hồng Lĩnh để đánh nhau cùng quân Tây Sơn. Bị thua trận, Bính liền trèo lên đỉnh núi cao nhất của núi Hồng Lĩnh, tự tay đề một bài thơ vào vách chùa ở đó như sau: Đền nước không còn chước, Bên mình có mũi dao.
回头鸿岭上，九十九峰高。」	Ngoái cổ nhìn Hồng Lĩnh. Chín mươi chín đỉnh cao.
即引刀穿肠而死，军民闻者莫不哀之。	Rồi Bính lấy dao đâm thọc vào bụng mà chết; quân dân nghe tin, ai cũng thương xót.
且说北平王既定北侵之计，仍遣其臣阮招远如清，具表请婚，且求两广地。	Lại nói, vua Quang Trung, sau khi quyết định việc đánh Trung Quốc, bèn sai bề tôi là Chiêu viễn Vũ Văn Dũng sang nhà Thanh, dâng biểu cầu hôn và đòi lại đất hai tỉnh Quảng Đông, Quảng Tây.
