张仪者，魏人也。	Trương Nghi người nước Ngụy.
始尝与苏秦俱事鬼谷先生，学术， 苏秦自以不及张仪。	Ban đầu cùng Tô Tần theo học Quỷ Cốc tiên sinh, về học thuật, Tô Tần tự nhận mình không bằng Trương Nghi.
张仪已学游说诸侯。	Trương Nghi học xong liền du thuyết chư hầu.
尝从楚相饮，已而楚相亡璧，门 下意张仪，曰：“仪贫无行，必此盗相君之璧。”共执张仪，掠笞数 百，不服，醳之。	Từng uống rượu cùng Tướng quốc nước Sở, sau Tướng quốc nước Sở bị mất ngọc bích, môn hạ có ý nghi ngờ Trương Nghi, nói: “Trương Nghi nghèo mà không có phẩm hạnh, hẳn y lấy trộm viên ngọc của tướng quân.” Cùng bắt Trương Nghi, đánh mấy trăm roi, [Nghi] không nhận, đành thả.
其妻曰：“嘻！	Vợ Nghi nói: “Ối giời ơi!
子毋读书游说，安得此辱乎？”张仪谓 其妻曰：“视吾舌尚在不？”其妻笑曰：“舌在也。”仪曰：“足 矣。”苏秦已说赵王而得相约从亲，然恐秦之攻诸 侯，败约後负，念莫可使用於秦者，乃使人微感张仪曰：“子始与苏 秦善，今秦已当路，子何不往游，以求通子之原？”	Ông không đọc sách du thuyết thì phải chịu nỗi nhục này không?” Trương Nghi bảo vợ: “Nhìn xem lưỡi ta còn không?” Vợ cười đáp: “Lưỡi còn.” Nghi nói: “Đủ rồi.” Tô Tần đã thuyết Triệu vương rồi ước định hợp tung, nhưng e Tần đánh chư hầu, [chư hầu] hủy bỏ minh ước, nghĩ không có ai sai đến nước Tần, bèn phái người khuyên Trương Nghi: “Khi trước ông và Tô Tần là chỗ thân thiết, nay Tô Tần đã nắm quyền, sao ông không qua chơi, để thỏa nguyện của mình?” Thế rồi Trương Nghi liền đến Triệu, đưa danh thiếp cầu kiến Tô Tần.
张仪於是之赵， 上谒求见苏秦。	
苏秦乃诫门下人不为通，又使不得去者数日。	Tô Tần dặn thuộc hạ không thông báo, lại sai giữ chân Trương Nghi mấy ngày liền.
已而见 之，坐之堂下，赐仆妾之食。	Sau đó, [Tô Tần] gặp Trương Nghi, cho ngồi dưới thềm nhà, ban thức ăn của tôi tớ.
因而数让之 曰：“以子之材能，乃自令困辱至此。	Nhân đó còn nhiếc mắng: “Tài năng như ngươi mà khốn đốn nhục nhã đến thế này.
吾宁不能言而富 贵子，子不足收也。”谢去之。	Ta há không thể nói để ngươi được giàu sang, nhưng ngươi không đáng được thế.” Nói rồi đuổi đi.
张仪之来也，自以为故人，求益，反 见辱，怒，念诸侯莫可事，独秦能苦赵，乃遂入秦。	Trương Nghi đến gặp, nghĩ là bạn bè cũ, mong nhờ cậy, không ngờ bị sỉ nhục, giận lắm, nghĩ chư hầu không nước nào phụng sự được, chỉ Tần mới làm khó được Triệu, bèn sang nước Tần.
苏秦已而告其舍人曰：“张仪，天下贤士，吾殆弗如也。	[Sau khi Trương Nghi sang Tần], Tô Tần nói với môn khách của mình rằng: “Trương Nghi là bậc hiền sĩ thiên hạ, ta e cũng không bằng.
今吾幸 先用，而能用秦柄者，独张仪可耳。	Nay ta may mắn được trọng dụng trước, còn người nắm được quyền bính ở Tần chỉ có thể là Trương Nghi thôi.
然贫，无因以进。	Nhưng ông ta nghèo, không có gì để tiến thân.
吾恐其乐小利 而不遂，故召辱之，以激其意。	Ta sợ ông ta ham lợi nhỏ mà không thỏa chí, nên triệu đến để làm nhục, đặng khích ông ta.
子为我阴奉之。”乃言赵王，发金币 车马，使人微随张仪，与同宿舍，稍稍近就之，奉以车马金钱，所欲 用，为取给，而弗告。	Người hãy vì ta âm thầm phụng sự ông ta.” Rồi nói với Triệu vương, ban cho tiền vàng ngựa xe, sai người lén theo Trương Nghi, ngủ cùng quán trọ, dần dà tiếp cận, dâng ngựa xe tiền vàng, [Nghi] muốn dùng gì, chi cấp cho nhưng không nói sự thực.
张仪遂得以见秦惠王。	Trương Nghi nhờ thế được yết kiến Tần Huệ vương.
