第十四回。	Hồi thứ mười bốn.
战玉洄清师败绩。	Đánh Ngọc Hồi, quân Thanh bị thua trận.
弃龙城黎帝如燕。	Bỏ Thăng Long, Chiêu Thống trốn ra ngoài.
且说孙士毅自提兵出塞后，穿林渡涧，如履平地；昼行夜止，别无他虞。一路直抵升龙，不亡一簇，如入无人之境。	Lại nói, Tôn Sỹ Nghị sau khi đem quân ra cửa ải, xuyên rừng vượt núi, như giẫm đất bằng; ngày đi đêm nghỉ, không phải lo lắng gì, kéo thẳng một mạch đến thành Thăng Long, không mất một mũi tên, như vào chỗ không người.
自古用兵，未有如此之易者。	Từ xưa, các nhà cầm quân chưa có khi nào được dễ dàng như thế.
故他以无事易之，不用防闲，益生骄恣。	Cho nên y xem thường, cho là vô sự, không cần phải đề phòng.
兵丁屯札，许自离伍行走，无有约束，或去城十里采薪；或去民间市廛商卖，朝去暮入，日以为常。	Rồi đó, y lại càng thêm kiêu căng, buông tuồng, mặc cho quân lính các đồn tự tiện bỏ cả đội ngũ, đi lại lang thang, không còn có kỷ luật gì cả. Có kẻ đi ra khỏi thành đến hơn mười dặm, để kiếm củi đun, có kẻ đi tới các chợ búa dân gian để buôn bán, hàng ngày sớm đi tối về xem như việc bình thường.
将吏亦日事游宴，不以戎事为意，有说及敌情者，辄曰：「釜鱼笼鸟，余息尚存，何足挂齿！」	Bọn tướng tá cũng ngày ngày chơi bời tiệc tùng, không hề để ý gì đến việc quân. Hễ ai nhắc đến tình hình giặc giã thì bọn họ đáp rằng: "Chúng nó như cá chậu chim lồng, còn chút hơi thừa thoi thóp, không đáng nói đến.
奉督部大人军令，以开春正月六日出师，捣西山巢穴。	Vâng lệnh của quan lớn đốc bộ, định đến ngày mùng 6 tháng giêng, nhân dịp đầu xuân sẽ xuất quân kéo thẳng đến sào huyệt của quân Tây Sơn.
那敌次第就俘，无一漏网。	Bọn giặc ấy nhất định sẽ lần lượt bị bắt sống không một tên nào lọt lưới.
南河人当就见之，于是一国之人，逋播诸臣，再见天日。	Người Nam Hà sẽ đến mà xem!". Thế là người trong nước, kể cả các viên quan đã từng trốn tránh hồi xưa mà bấy giờ đã được thấy lại bóng mặt trời, ai nấy mới đều yên tâm vui mừng về cuộc sum họp trước mắt.
方喜目前聚会，但倚孙总督为长城，不复以宫阙丘墟为念，门庭寇贼为虞，文恬武嬉，一味姑息。	Rồi họ dựa vào tổng đốc họ Tôn làm bức trường thành, không còn nghĩ gì đến việc cung khuyết bị tàn hoang, không còn lo gì đến việc kẻ địch đang ở nơi cửa ngõ; võ lặng, văn im, thảy đều bệ trễ.
会有故宫人自长安来，言于太后曰：「驾复京城，已几一月。	Vừa lúc ấy, có người cung nhân cũ từ phủ Trường Yên tới, nói với thái hậu rằng: - Xe vua trở về kinh thành, đã gần một tháng.
号令所及，不过应常慈顺广五路而已。	Hiệu lệnh ban ra, chẳng qua mới đến các vùng Ứng Hoà, Thường Tín, Từ Sơn, Thuận Thành, Quảng Oai, năm lộ mà thôi.
至于长安以南，清化根本之地，先朝陵寝所在；乂安亦是股肱辅郡，禁军直宿，皆取于此。今皆沦没，声息不通，此实可忧之大者。	Còn như từ Trường Yên về nam, Thanh Hóa là đất căn bản, lăng tẩm tiền triều ở đó, Nghệ An cũng là quận chân tay, quân cấm và quân túc trực đều lấy người ở đấy, thì nay vẫn bị mất về tay giặc, tin tức không thông, đó thật là điều đáng lo rất lớn.
目今国情之虚实，敌情之强弱，旁观之人莫不知之。	Hiện nay, việc nước hư thực thế nào, thế giặc mạnh yếu ra sao, những người đứng ngoài mà xem, không ai không biết.
向者皇上遘悯出奔，诸臣跋涉劳苦，余一年矣，多少人情想应历阅已悉，胡乃恬然不以挂念。	Trước đây, hoàng thượng gặp nạn phải chạy, các quan trèo đèo vượt suối, khó nhọc vất vả đã hơn một năm, bao nhiêu nhân tình chắc đã từng trải hết rồi, sao vẫn điềm nhiên không lo nghĩ gì cả?
孙总督从上国来，国势敌情略闻其概，至如地有要害之处，分屯设伏，须有筹规。	Tổng đốc họ Tôn từ thượng quốc tới đây, thế nước và tình hình của giặc chỉ biết đại khái. Đến như các miền, cũng có nơi xung yếu, noi bình thường, chia đồn và mai phục, cần phải trù tính kỹ càng.
兵有攻取之宜，权机应变，在于呼吸，他如何勘得明确？	Việc binh có lúc nên đánh, lúc nên giữ, phải tuỳ cơ ứng biến trong chốc lát. Tất cả những điều ấy, họ làm sao mà hiểu được rõ ràng, đích xác?
且据黎亻冏前来供状，称本国诸地方不肯从敌，向义尚多，人心亦有可恃，要得大兵为之声援，则恢复之功可成。	Vả chăng, khi trước Lê Quýnh khai báo ở bên ấy, nói rằng: "Nhiều nơi trong nước ta không chịu theo giặc, người chuộng nghĩa còn nhiều, lòng người cũng có thể trông cậy, nếu được đại binh sang làm thanh viện thì công việc khôi phục có thể thành...".
此特立言之体，使他不以其事为难，只欲急得兵来，故为此虚言慢过。	Đó chỉ là một cách nói, để tổng đốc họ Tôn không cho việc ấy là khó. Quýnh vì muốn chóng được quân sang cứu, cho nên mới bịa ra lời nói hão để lừa dối họ.
他亦以为信然，勇往向前，无复却顾。	Họ cũng tưởng là thật, hăng hái tiến lên, không còn lo nghĩ gì về sau.
观其传檄之辞，其所以责于我者实深。但于河上翱翔，徒以声势恐喝。	Cứ xem lời lẽ trong bài hịch, thì những điều họ bắt buộc mình phải đương lấy, rất là nặng nề; còn họ thì chỉ lảng vảng ở bên bờ sông, lấy thanh thế suông để doạ dẫm mà thôi.
不知阮惠以英雄老手，骁悍能兵，看他北去南还，神出鬼没，人莫能测，擒有整如制婴儿，杀文任如取豚子，无一人敢正目相视。	Không biết rằng, Nguyễn Huệ là một tay anh hùng lão luyện, dũng mãnh và có tài cầm quân. Xem hắn ra Bắc vào Nam, ẩn hiện như quỉ thần, không ai có thể lường biết. Hắn bắt Hữu Chỉnh như bắt trẻ con, giết Văn Nhậm như giết con lợn, không một người nào dám nhìn thẳng vào mặt hắn.
闻其指顾，令人魂魄俱丧，畏之甚于雷霆。	Thấy hắn trỏ tay, đưa mắt, là ai nấy đã phách lạc hồn xiêu, sợ hơn sợ sấm sét.
窃恐他不日再来，孙总督以内顾之兵，何能当得？	E rằng chẳng mấy lâu nữa, hắn lại trở ra, tổng đốc họ Tôn đem thứ quân nhớ nhà kia mà chống chọi, thì địch sao cho nổi?
彼不过客人，此来亦观势之难易为进退，其如我国家何？	Họ chẳng qua chỉ là người khách, chuyến này sang cũng cốt xem sự thế khó hay dễ để liệu bề tiến lui mà thôi. Nhưng còn nhà nước của ta thì sao?
太后能再一番奔内地？」	Thái hậu có thể chạy sang đất Trung Hoa một chuyến nữa chăng?
耶太后瞿然曰：「此正老妇心事，夙夜忧思，未知作何计策？」	Thái hậu giật mình nói: - Đó chính là tâm sự của gái già này, vẫn ngày đêm lo lắng mà chưa biết làm thế nào?
因以是言于帝。	Rồi nhân tiện, thái hậu đem việc đó nói lại với vua.
帝始大惧，即与亻冏等造诣毅军营，恳请出师。	Bấy giờ nhà vua mới hoảng sợ, liền cùng bọn Quýnh đến doanh quân của Nghị tha thiết xin xuất quân.
毅呼亻冏诘之曰：「尔国人果不可恃！	Nghị gọi Quýnh đến mà căn vặn rằng: - Người nước mày nay quả thật không thể trông cậy được, thế thì lời cung khai của mày trước đây ra sao?
尔前日供状，如何敢欺我？」	Dám lừa dối ta chăng?
又顾谓帝曰：「嗣王年少，事未更练，向于谅山迎谒，何不分明言之。	Rồi Nghị ngoảnh sang bảo vua: - Tự vương trẻ tuổi, chưa từng trải công việc, trước đây tới đón chào ta ở Lạng Sơn, sao không nói cho rõ?
乘我之胜，蹶彼之困，岂不易然！	Bấy giờ, nhân khi ta thắng, đè bẹp ngay lúc chúng đang khốn đốn, há chẳng dễ dàng hơn hay sao?
今失此机会，使彼得以暇豫为谋，今制之之道，要当动出万全，岂可遑遽。	Nay đã bỏ lỡ cơ hội ấy, để chúng có thì giờ thong thả mà bày mưu đặt chước, cách trị chúng cần phải tính toán cho chu đáo, không thể hấp tấp.
且既以开春六日为师期，亦是不远。	Vả lại, đã định đến sang xuân, vào ngày mùng sáu thì sẽ xuất quân, như vậy cũng không còn xa gì nữa.
若敌急发，听尔主臣先出一道兵亦可。」	Nếu muốn đi gấp thì cho phép vua tôi nhà ngươi đem một đạo quân đi trước cũng được.
帝退，谓亻冏曰：「卿乃心帝室，国事思过半矣！	Vua lui ra bảo với Quýnh rằng: - Ngươi từng dốc lòng với ta, việc nước cũng đã được quá nửa rồi.
勉卒前功，毋使国人得以护我，天朝得以咎我也。」	Vậy nay hãy cố gắng làm cho tròn công trạng trước, đừng để người trong nước có thể bàn tán về ta, và thiên triều có chỗ quở trách được ta.
且说黎亻冏超类大卯人，本是风流公子，少年只以饮博为事，文事武备，非所素讲，向因贵近入为家臣。	Lại nói, Lê Quýnh là người làng Đại Mão, huyện Siêu Loại (nay là huyện Thuận Thành, Hà Bắc) vốn là một tay phong lưu công tử, con trai của tiến sĩ triều Lê là Lê Doãn Giản. Khi tuổi trẻ, Quýnh chỉ biết uống rượu, đánh bạc, việc văn việc võ đều chưa hề luyện tập qua. Trước kia vì là con nhà quí tộc thân cận, nên được vào làm gia thần nhà vua.
迨西贼来侵，京城失守。	Đến khi quân Tây Sơn tới xâm lấn, kinh thành thất thủ.
帝令从太后驾之高平，为敌人追逼，不得不投内地。	Quýnh vâng mệnh vua theo hầu thái hậu lên Cao Bằng, rồi bị quân giặc đuổi bắt, phải chạy sang Trung Quốc.
缘他稍识文字，故与此人答问，弄出许多大言。	Vì Quýnh hơi biết chữ nghĩa, cho nên khi chuyện trò với người Thanh, thường bịa ra nhiều câu khoác lác.
孙总督亦不之察，为之题达。	Tôn Sỹ Nghị cũng không xét đến chỗ đó, đem lời tâu lên, vua Thanh ưng thuận.
清帝准允，幸得复国，自以为功。	Thế rồi may được khôi phục lại nước nhà. Quýnh tự cho là công lao của mình.
既还升龙，便私报恩仇，公私货贿，国中豪杰皆心不喜他。	Sau khi về thành Thăng Long, Quýnh chỉ lo đền ơn trả oán và công nhiên ăn của đút lót. Những tay hào kiệt trong nước đều không ưa Quýnh.
帝以其有功，委之兵柄，目徒眩旌旗之色，耳未闻金鼓之声，矧能作何注措，因托以不欲远离左右，请帝敕山西镇守先将本道兵屯于涧口，以塞西山来路，冀己免于临戎。	Vua cho là Quýnh có công, giao cho cầm quân. Nhưng Quýnh, mắt còn choáng lộn bóng tinh kỳ, tai chưa nghe quen tiếng chiêng trống, nói gì đến chuyện sắp đặt việc binh bị? Quýnh bèn mượn cớ không muốn xa rời cạnh vua, xin vua truyền cho viên trấn thủ Sơn Tây đem quân bản bộ đóng trước ở Giản Khẩu, để chặn đường ra của quân Tây Sơn.
而战之胜败，国之安危不恤也。	Đó là Quýnh cốt cho mình khỏi phải ra trận; còn việc chinh chiến được hay thua, nước nhà còn hay mất, Quýnh chẳng cần biết đến làm gì.
且说吴文楚既以诸道兵退，即紧使阮文雪驰驿南还告急；而画长安以为界，屯水军于汴山洋分，步兵分据三迭山，水陆相连，遏绝南北。	Nhắc lại, Ngô Văn Sở sau khi đem các đạo quân rút lui, tức tốc sai Nguyễn Văn Tuyết chạy trạm vào Nam cáo cấp. Một mặt chặn ngang đất Trường Yên làm giới hạn, đóng thuỷ quân ở hải phận Biện Sơn, quân bộ thì chia giữ vùng núi Tam Điệp, hai mặt thuỷ bộ liên lạc với nhau, ngăn hẳn miền Nam với miền Bắc.
故四镇以外之事，与清、乂二处都不相通。	Vì thế, việc ở bốn trấn đường ngoài không hề thấu đến hai xứ Thanh, Nghệ.
清师抵升龙，与帝以十一月二十二日受封，清化以内无一人知之者。	Vì vậy việc quân Thanh đến Thăng Long và việc vua Lê thụ phong ngày 22 tháng 11, từ Thanh Hóa trở vào, không một người nào được biết.
且楚以是月二十日退处三迭，而二十四日，雪已至富春城。	Ngày 20 tháng ấy, Sở lui về Tam Điệp, thì ngày 24 Tuyết đã vào đến thành Phú Xuân.
北平王得报大怒，大会将士，欲即日自将而出。	Bắc bình vương tiếp được tin báo, giận lắm, liền họp các tướng sĩ, định thân chinh cầm quân đi ngay.
