第四回。	Hồi thứ tư.
复师雠阮整援兵。	Nhờ ngoại viện, Hữu Chỉnh rửa thù thầy.
赴国难李公殉主。	Tỏ lòng trung, Trần Quán chết theo chúa.
却说，诸军密谋既定，相与质于阮{仍玉}。	Lại nói, đám kiêu binh sau khi đã bàn định mưu mô xong, liền kéo nhau đến hỏi Trần Nguyễn Nhưng.
{仍玉}惯于谋做个文书，乃为立定条约，分付某人行某事讫，即以其某入告于王。	Nhưng vốn quen làm giấy tờ cho đám lính; bèn lập ngay một bản điều ước, cắt đặt rõ người nào làm việc nào, rồi đưa cho họ. Sau đó, Nhưng lại tức tốc đem mưu ấy vào báo với chúa.
王大惊曰：「吾昨日尘中和宫，有飞鹊下庭前，跃睨我再三，如欲博击之状，即令侍臣以戈挥之，乃飞去。	Chúa cả sợ nói: - Hôm qua ta ngồi ở cung Trung Hoà, có con quạ khoang bay xuống trước sân vừa nhảy nhót vừa nhìn vào ta đến hai ba lần, như có ý muốn mổ. Ta phải sai thị thần lấy giáo ra xua mấy cái, nó mới bay đi.
我心知其必有下人谋我者，今果然矣。	Thấy điềm ấy, bụng ta đã biết chắc là có kẻ dưới đang mưu hại ta. Nay quả nhiên đúng như vậy.
尔其为我调解，俾符我挥戈之兆。」	Bây giờ ngươi hãy nên vì ta mà giảng giải với họ, cho nó hợp với cái điềm "xua giáo" của ta.
乃许以银钱，使{仍玉}密破其谋。	Rồi chúa lại hứa cho Nhưng tiền bạc, để Nhưng ngầm phá mưu của quân lính.
{仍玉}为人浅露，得王恩意，旋即夸之。	Nhưng là một người nông nổi, được chúa tỏ ý khen thưởng, tin dùng, liền đi khoe ngay với người khác.
诸军知其谋为{仍玉}所泄，遂捕{仍玉}。	Quân lính biết mưu của họ đã bị Nhưng tiết lộ, bèn lùng bắt, Nhưng phải trốn về vùng Thanh Hóa.
{仍玉}逃归清华，王以{仍玉}多心喜事，因其去，命为顺化记录。	Chúa thấy Nhưng là kẻ đa tâm lại hay kiếm chuyện, nhân dịp hắn đi trốn, bèn cho làm chức ký lục ở Thuận Hoá.
{仍玉}去后，会诸镇罢兵，诸军之谋亦沮。	Sau khi Nhưng đi rồi, thì vừa lúc các trấn cũng bãi binh; vì vậy mưu của quân lính cũng thôi nốt.
