第一回。	Hồi thứ nhất.
郑宣妃宠冠后宫。	Đặng Tuyên Phi được yêu dấu, đứng đầu hậu cung.
王世子废居幽室。	Vương Thế Tử bị truất ngôi, ra ở nhà kín.
话说皇黎朝庄宗裕皇帝中兴于马漆江，时世祖明康、太王郑检为辅，诛锄逆莫，还于故都。	Triều Lê Trang Tông Dụ hoàng đế (Tức Lê Trang Tông, tên là Duy Ninh (1533- 1548). Các chú thích từ đây trở đi đều của người dịch) trung hưng cơ nghiệp ở sông Tất Mã (Tức sông Mã ở Thanh Hoá). Bấy giờ Thế Tổ Minh khang thái vương Trịnh Kiểm làm phụ chính, giúp vua dẹp yên được đảng họ Mạc và trở lại kinh đô cũ.
郑氏世袭王位，掌握大权，皇家渐见衰弱，传至显宗永皇帝景兴年间，圣祖盛王专行威福，帝惟垂拱而已。	Rồi từ đó, họ Trịnh đời đời kế tiếp tước vương, nắm giữ hết quyền bính trong tay, hoàng gia mỗi ngày một suy yếu dần. Truyền đến đời Hiển Tông Vĩnh hoàng đế, niên hiệu Cảnh Hưng (1740-1786), thì Thánh Tổ Thịnh Vương (Tức Trịnh Sâm, mới lên ngôi chúa) chuyên quyền cậy thế, làm oai làm phúc; vua Lê chỉ còn biết chắp tay rủ áo mà thôi.
盛王为人刚明英断，智慧过人，有文才武略，博览经史，好为诗文。	Thịnh vương là người cứng rắn, thông minh, quyết đoán sáng suốt, trí tuệ hơn người, có đủ tài về văn lẫn võ, đã xem khắp kinh sử, biết làm văn làm thơ.
既袭位，狭小累朝制度，国政朝纲，一番整顿，凶管道党，取次削平。	Sau khi Thịnh vương lên nối ngôi chúa, từ kỷ cương trong triều đến chính trị trong nước, hết thảy đều được sửa đổi; bao nhiêu tướng giặc, đảng nghịch, đều lần lượt bị dẹp tan, Chúa có cái chí muốn làm bá chủ, nào diệt giặc Trấn Ninh, nào phá bọn Công Chất [đây là hai cuộc khởi nghĩa nông dân lớn ở thế kỷ 18. Cuộc khởi nghĩa của Lê Duy Mật ở vùng Thanh Nghệ, lấy Trấn Ninh làm căn cứ, kéo dài 32 năm (1738-1770).
有独运逼宇之志，灭质平宁，王师所至，无不克捷。	Cuộc khởi nghĩa của Hoàng Công Chất ở vùng Sơn Nam và Tây Bắc, kéo dài 30 năm (1739-1769)], quân nhà chúa đã đến, không chỗ nào là không thắng.
时四方宁谧，府库充实，王渐有骄侈之心，妃嫔侍女，肆意娱乐。	Lúc đó bốn phương yên ổn, kho đụn đầy đủ, chúa dần dần sinh bụng kiêu căng, xa xỉ, phi tần thị nữ kén vào rất nhiều, mặc ý vui chơi thoả thích.
一日，婕妤陈氏咏，遗女婢邓氏蕙捧花盒至于御前，那邓氏扶董人，生得凤眼蛾眉，十分美艳，王见而悦之，因与之私焉。	Một hôm, tiệp dư (Một cấp bực của vợ vua, dưới bậc phi) Trần Thị Vịnh sai nữ tỳ Đặng Thị Huệ bưng một khay hoa đến trước nơi chúa ngồi. Ả họ Đặng này, quê ở làng Phù Đổng, mắt phượng mày ngài, vẻ người mười phần xinh đẹp. Chúa nom thấy rất bằng lòng, bèn tư thông với ả. Từ đó, Thị Huệ càng ngày càng được nhà chúa yêu quí, ả nói gì chúa cũng nghe và hễ có việc gì là chúa cũng bàn với ả.
自是渐见宠幸，言无不听，与王同居正寝，如人家夫妇。	Rồi ả được ở chung một nơi với chúa, y như một cặp vợ chồng nhà thường dân.
车舆衣服，穷极奢侈，颇亦侍宠弄权，有不如意者，辙为憔悴之容，悲号哭泣，以乱王心。	Xe kiệu, quần áo của ả cũng đều được sắm sửa hệt như đồ dùng của chúa. Thị Huệ từ lúc được nhà chúa chiều chuộng, hơi có vẻ lộng hành. Hễ có chuyện gì không vừa ý, là ả xây xẩm mặt mày, rồi kêu khóc thảm thiết để làm rối lòng chúa.
王有夜光珠一颗，乃平南时所获，串于王巾头以为玩。	Chúa có một viên ngọc dạ quang, lấy được trong khi đánh dẹp phương Nam, vẫn xâu ở trên đầu khăn làm đồ trang sức. Một hôm Thị Huệ lấy tay mân mê viên ngọc.
邓氏弄之，王曰：「好轻轻手，无使珠伤。」	Chúa nói: - Nhè nhẹ tay chứ, đừng làm ngọc sây sát!
邓氏乃掷珠于地而泣曰：「何物！	Thị Huệ bèn ném viên ngọc xuống đất mà khóc rằng: - Làm gì cái hạt ngọc này!
此珠不过入广南采来偿王便了，王何重货而轻人！」	Chẳng qua vào Quảng Nam kiếm giả chúa hạt khác là cùng. Sao chúa nỡ trọng của khinh người như vậy?
乃自废于别宫，辞而不见。	Rồi ả tự ý bỏ ra ở cung khác, từ chối không gặp chúa nữa.
王多委曲，以悦其心，邓氏始与相善。	Chúa phải dùng nhiều cách dỗ dành cho ả vui lòng, lúc ấy ả mới chịu làm lành với chúa.
及邓氏有娠，王使人祝百神，祈生圣子。	Kịp đến khi Thị Huệ có mang, chúa liền sai người đi lễ khắp trăm thần để cầu sinh con thánh. Đến kỳ, ả sinh được một trai, vào năm Đinh Dậu, niên hiệu Cảnh Hưng 38 (1777).
居期而生男，王最钟爱，满百日，王以少时御名杆命之，取其类己也。	Chúa hết sức yêu mến đứa bé, lúc đầy trăm ngày, chúa lấy tên của mình lúc nhỏ là Cán mà đặt cho nó, để tỏ ra nó cũng giống mình.
是年乡试第三场，御题以「山川英毓，河海秀锺」为题，文武诸臣，承望风旨，亦多以星辉海润为贺者。	Khoa thi hương năm ấy, chúa lấy hai câu: "Sơn xuyên anh dục, hà hải tú chung" (Nghĩa là: "Khí thiêng của sông núi tụ lại, sự tốt đẹp của hồ biển đúc nên", ý muốn chỉ về Trịnh Cán), để làm đề thi. Các quan văn võ đưa đón ý chúa, cũng có nhiều kẻ lấy chữ: "Tính huy hải nhuận" (nghĩa là: "Sao sáng, biển hoà" tức là điềm sinh ra bậc thánh) làm câu chúc mừng.
周岁骨相丰伟，异于常人。既能言，应对明辨，举止俨如大人。	Lúc vương tử Cán đầy tuổi tôi, cốt cách tướng mạo khôi ngô, đẫy đà, khác hẳn người thường. Đến khi biết nói, vương tử Cán đối đáp gãy gọn, cử chỉ không khác gì người lớn.
文武诸臣有入见者，正容接之。	Mỗi khi các quan văn võ vào thăm, vương tử tiếp đón với dáng bộ nghiêm chỉnh.
或隔岁再见，皆能记其姓名，历说前事。	Có người cách hàng năm mới gặp, vương tử cũng vẫn nhớ rõ họ, tên, kể lại chuyện cũ vanh vách.
