李斯者，楚上蔡人也。	Lý Tư người đất Thượng Sài nước Sở.
年少时，为郡小吏， 见吏舍厕中鼠食不絜，近人犬，数惊恐之。	Lúc còn trẻ, làm viên lại nhỏ trong quận, thấy trong nhà xí chỗ mình có con chuột ăn thứ bẩn thỉu, gần người và chó, thường hay kinh sợ.
斯入 仓，观仓中鼠，食积粟，居大庑之下，不见人犬之忧。	Tư vào kho, thấy chuột trong kho ăn thóc gạo tích chứa trong đó, ở trong kho lớn, không thấy nó sợ người và chó.
於是李斯乃叹 曰：“人之贤不肖譬如鼠矣，在所自处耳！”乃从荀卿学帝王之术。	Thấy vậy, Lý Tư bèn than: “Người hiền năng hay kém cỏi cũng như con chuột vậy, do chỗ nào mà thôi.” Bèn theo Tuân Khanh học về thuật đế vương.
学已成，度楚王不足事，而六国皆弱，无 可为建功者，欲西入秦。	Học đã thành, xét thấy Sở vương không đủ để thờ, còn sáu nước đều yếu, không phải chỗ có thể lập công danh sự nghiệp, muốn sang phía tây đến Tần.
辞於荀卿曰：“斯闻得时无怠，今万乘方争 时，游者主事。	Từ biệt Tuân Khanh rằng: “Tư nghe gặp thời cơ không để mất, nay nước muôn cỗ xe đang tranh giành nhau, kẻ du thuyết chủ trì chính sự.
今秦王欲吞天 下，称帝而治，此布衣驰骛之时而游说者之秋也。	Hiện Tần vương muốn thôn tính thiên hạ, xưng đế mà cai trị, cũng là lúc kẻ áo vải rong ruổi, là thời cơ cho kẻ du thuyết.
处卑贱之位而计不为者，此禽鹿视肉，人 面而能彊行者耳。	Kẻ ở chỗ thấp hèn mà không nắm bắt, cũng như cầm thú thấy thịt thì ăn, mang mặt người gượng đi đấy thôi.
故诟 莫大於卑贱，而悲莫甚於穷困。	Cho nên nhục không gì lớn bằng thấp hèn, bi ai không gì bằng cùng quẫn.
久处卑贱之位，困苦之 地，非世而恶利，自讬於无为，此 非士之情也。	Ở mãi địa vị thấp hèn, trong chỗ khốn quẫn, ghét đời chê lợi, tự cho mình không thèm làm, đó không phải ý của kẻ sĩ.
故斯将西说秦王矣。”至秦，会庄襄王卒，李斯乃求为秦相文信侯吕不韦舍人；不韦贤 之，任以为郎。	Do đó Tư sẽ sang tây du thuyết Tần vương.” Đến Tần, đúng lúc Trang Tương vương chết, Lý Tư bèn làm xá nhân của Tướng quốc nước Tần là Văn Tín hầu Lã Bất Vi; Bất Vi cho là hiền năng, trao chức quan lang.
李斯因以得说，说秦王曰：“胥人者，去其几也。	Nhân đó Lý Tư được du thuyết, khuyên Tần vương rằng: “Kẻ tầm thường hay để lỡ thời cơ.
成大功者，在 因瑕衅而遂忍之。	Người lập công lớn là do biết dựa kẽ hở rồi bạo dạn mà làm.
昔者秦穆公之霸，终不东并六国者，何也？	Xưa kia Tần Mục công xưng bá, cuối cùng không tiến về đông thâu tóm sáu nước, sao vậy?
诸侯尚众，周德未衰，故五伯迭兴，更尊周室。	Vì chư hầu còn đông, đức nhà Chu chưa suy, nên Ngũ bá thay nhau dấy lên, tôn thờ nhà Chu.
自秦孝公以来，周室 卑微，诸侯相兼，关东为六国，秦之乘胜役诸侯，盖六世矣。	Từ Tần Hiếu công đến nay, nhà Chu suy vi, chư hầu thôn tính lẫn nhau, phía đông Hàm Cốc thành ra sáu nước, Tần thừa thắng sai khiến chư hầu cũng được sáu đời rồi.
今诸侯服秦，譬若郡县。	Nay chư hầu thần phục Tần, giống như quận huyện của Tần.
夫以秦之彊，大王之贤，由灶上骚除， 足以灭诸侯， 成帝业，为天下一统，此万世之一时也。	Dựa vào sự hùng cường của Tần, sự hiền minh của đại vương, đủ để diệt chư hầu, hoàn thành đế nghiệp, nhất thống thiên hạ, dễ như quét bụi trong bếp vậy, đó là thời cơ muôn đời có một.
今怠而不急就，诸侯复彊， 相聚约从，虽有黄帝之贤，不能并也。”秦王乃拜斯为长史，听其 计，阴遣谋士赍持金玉以游说诸侯。	Nay chần chừ không kíp nắm bắt, chư hầu mạnh lên, liên kết hợp tung, thì dẫu giỏi như Hoàng Đế cũng không thể thôn tính được.” Tần vương bèn phong Lý Tư làm Trưởng sử, nghe theo kế sách, ngầm sai mưu sĩ mang vàng ngọc đi du thuyết chư hầu.
诸侯名士可下以财者，厚遗结 之；不肯者，利剑刺之。	Những danh sĩ ở chư hầu có thể dùng của cải mua chuộc sẽ đưa lễ hậu liên kết; ai không chịu thì dùng kiếm sắc giết đi.
离其君臣之计，秦王乃使其良将随其後。	Sau khi thực hiện kế ly gián vua tôi các nước, Tần vương sai tướng giỏi tấn công.
秦 王拜斯为客卿。	Tần vương phong Tư làm khách khanh.
会韩人郑国来间秦，以作注溉渠， 已而觉。	Đúng lúc Trịnh Quốc người Hàn đến ly gián Tần, liên quan việc đào kênh tưới tiêu, việc bị phát giác.
秦宗室 大臣皆言秦王曰：“诸侯人来事秦者，大抵为其主游间於秦耳，请一 切逐客。”李斯议亦在逐中。	Tổng thất đại thần nước Tần đều nói với Tần vương: “Người nước chư hầu đến thờ Tần, đại để là vì chúa họ mà đến du thuyết để ly gián Tần thôi, xin đuổi hết tân khách đi.” Lý Tư cũng trong số bị đuổi.
斯乃 上书曰： 臣闻吏议逐客，窃以为过矣。	Tư dâng thư nói: “Thần nghe quan lại bàn việc đuổi tân khách, trộm cho là sai lầm.
昔缪公求士，西取由余於戎，东得 百里奚於宛， 迎蹇叔於宋， 来丕豹、公孙支於晋。	Xưa Mục công cầu kẻ sĩ, phía tây thu dụng Do Dư tại đất Nhung, phía đông được Bách Lý Hề ở đất Uyển, đón Kiển Thúc ở đất Tống, vời được Phi Báo, Công Tôn Chi ở Tấn.
此五子者，不产於秦，而缪公用之，并 国二十，遂霸西戎。	Năm người đó không sinh ở Tần, mà Mục công dùng họ, chiếm hai mươi nước, thành bá chủ ở Tây Nhung.
