会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
真宗时张咏镇蜀患蜀人铁钱重不便贸易设质剂之法一交一缗以三年为一界而换之。	Thời Trần Tông, Trương Dũng trấn giữ đất Thục, lo ngại người Thục sử dụng tiền sắt nặng nề, không thuận tiện cho việc buôn bán. Ông đã thiết lập phương pháp bảo đảm, một giao dịch một đồng tiền, lấy ba năm làm một kỳ hạn để đổi chác.
六十五年为二十二界谓之交子富民十六户主之。	Năm sáu mươi lăm, hai mươi hai giới, gọi là giao tử, phú dân mười sáu hộ chủ.
后富民赀稍衰不能偿所负争讼不息。	Sau khi giàu có, dân chúng dần suy giảm, không thể trả nợ, tranh chấp không ngừng.
、张若谷请置益州交子务以榷其出入私造者禁之。	Trương Nhược Cổ xin đặt việc giao dịch giấy tờ ở Ích Châu để quản lý việc ra vào, cấm những kẻ tự ý làm giả.
仁宗从其议。界以百二十五万六千三百四十缗为额。	Nhân Tông theo ý kiến đó Giới hạn là một trăm hai mươi lăm vạn sáu nghìn ba trăm bốn mươi đồng.
神宗熙宁初立伪造罪赏如官印文书法。	Thần Tông Hỉ Ninh ban đầu lập ra tội giả mạo, thưởng phạt như văn thư ấn quan.
河东运铁钱劳费公私苦之。	Chi phí lao động và tiền sắt ở Hà Đông, công tư đều khổ sở.
二年乃诏置交子务于潞州。	Năm thứ hai, bèn ban chiếu lập ra việc giao tử ở Lục Châu.
转运司以其法行则盐、矾不售有害入中粮草遂奏罢之。	Cục chuyển vận theo pháp luật mà hành thì muối và phèn không bán, có hại cho lương thực, cỏ, vì vậy đã tấu xin bãi bỏ.
四年复行于陜西而罢永兴军盐钞场言其不便；会出使延州还亦谓可行于蜀不可行于陜西未几竟罢。	Năm thứ tư, lại thực hiện ở Thiểm Tây nhưng bãi bỏ việc thu thuế muối của quân đội Vĩnh Hưng, nói rằng điều đó không tiện. Khi phái đoàn trở về từ Diên Châu, cũng cho rằng có thể thực hiện ở Thục nhưng không thể thực hiện ở Thiểm Tây.
五年交子二十二界将易而后界给用已多诏更造二十五界者百二十五万以偿二十三界之数交子有两界自此始。	Chẳng bao lâu, cuối cùng cũng bãi bỏ. Năm thứ năm, giao tử hai mươi hai giới sẽ thay đổi, sau đó giới sẽ được sử dụng nhiều, sắc lệnh mới chế tạo hai mươi lăm giới, tổng cộng một trăm hai mươi lăm vạn để bù đắp cho số lượng hai mươi ba giới. Giao tử có hai giới, từ đây bắt đầu.
时交子给多而钱不足致价太贱既而竟无实钱法不可行。	Thời điểm giao tiền nhiều mà tiền thật lại thiếu, khiến giá cả trở nên quá rẻ, cuối cùng không còn tiền thật, pháp luật không thể thực hiện.
而措置熙河财利孙迥言：「商人买贩牟利于官且损钞价」。	Và sắp xếp tài lợi ở Hý Hà, Tôn Khuông nói rằng thương nhân mua bán kiếm lợi từ quan lại và làm hại giá trị tiền tệ.
于是罢陜西交子法。	Vì vậy, bãi bỏ pháp giao tử ở Thiểm Tây.
绍圣以后界率增造以给陜西沿边籴买及募兵之用少者数十万缗多者或至数百万缗；而成都之用又请印造故每岁书放亦无定数。	Sau thời kỳ Thiệu Thánh, số lượng tiền tệ được in ấn tăng lên để cung cấp cho việc mua lương thực dọc biên giới tỉnh Thiểm Tây và tuyển mộ quân lính, số lượng ít thì vài trăm ngàn lượng, nhiều thì có thể lên tới vài triệu lượng. Còn việc sử dụng cho Thành Đô cũng được yêu cầu in ấn, vì vậy mỗi năm số lượng tiền phát hành cũng không có định số.
置京西北路专切管干通行交子所效川峡路立伪造法。	Đặt đường ống chuyên dụng tại Bắc Kinh Tây Bắc để thông hành giao dịch tiền tệ, lập pháp giả mạo cho con đường Trấn Giang.
通情转用并邻人不告者皆罪之；私造交子纸者罪以徒配。	Những kẻ thông đồng mà không báo cho hàng xóm đều bị coi là tội, những kẻ tự ý chế tạo giấy giao dịch cũng bị xử phạt bằng lao dịch.
四年令诸路更用钱引准新样印制四川如旧法。	Năm thứ tư, lệnh các đường phố sử dụng tiền mới in ấn theo mẫu cũ tại Tứ Xuyên.
罢在京并永兴军交子务在京官吏并归买钞所。	Ngừng việc ở Kinh thành và quân đội Vĩnh Hưng, việc giao dịch tiền giấy ở Kinh thành đều trở về nơi mua tiền.
时钱引通行诸路惟闽、浙、湖、广不行以为闽乃蔡京乡里故得免焉。	Thời tiền được thông hành khắp các đường, chỉ có Minh, Triết, Hồ, Quảng là không được, vì Minh là quê hương của Thái Kinh nên được miễn trừ.
明年尚书省言：「钱引本以代盐钞而诸路行之不通欲权罢印制。	Năm sau, Bộ Thượng thư nói rằng tiền giấy được dùng để thay thế tiền muối, nhưng việc lưu thông trên các đường không thuận lợi, muốn tạm ngừng việc in ấn.
在官者如旧法更印解盐钞；民间者许贸易渐赴买钞所如钞法分数计给」。从之。	Những người đang giữ chức vụ như trước đây, theo luật cũ, cho phép in ấn và giải quyết tiền muối, dân gian được phép thương mại dần dần, đến việc mua tiền giấy theo quy định về số lượng.
诏改四川交子务为钱引务。	Theo đó Chiếu đổi việc giao tử tại Tứ Xuyên thành việc dẫn tiền.
自用兵取湟、廓、西宁藉其法以助边费较天圣一界逾二十倍而价愈损。	Tự dùng binh lấy Hoàng Khắc Tây Ninh, nhờ pháp ấy để trợ phí biên giới, so với Thiên Thánh một giới vượt hơn hai mươi lần mà giá càng giảm.
及更界年新交子一当旧者四故更张之。	Và khi năm mới giao thoa, một điều thay đổi so với bốn điều cũ, cần phải thay đổi cho phù hợp.
以四十三界引准书放数仍用旧印行之使人不疑扰自后并更为钱引。	Dùng bốn mươi ba giới làm chuẩn, sách phát số vẫn dùng ấn cũ, khiến người không nghi ngờ, từ đó về sau lại đổi thành tiền dẫn.
