袁盎者，楚人也，字丝。	Viên Áng Viên Áng, người nước Sở, tự là Ty.
父故为 群盗，徙处安陵。	Cha vốn tụ tập đồ đảng làm trộm cướp, chuyển đến sống ở An Lăng.
高后时，盎尝为吕禄舍人。	Thời Cao hậu, Áng từng làm xá nhân cho Lã Lộc.
及孝文帝即位，盎兄哙 任盎为中郎。	Đến khi Hiếu Văn đế lên ngôi, anh Áng là Khoái tiến cử Áng làm Trung lang.
绛侯为丞相，朝罢趋出，意得甚。	Giáng hầu làm Thừa tướng, bãi chầu chạy vội ra ngoài, ra chiều đắc ý.
上礼之恭，常自送之。	Hoàng thượng dùng lễ đối đãi cung kính, thường đích thân đưa tiễn.
袁盎进曰：“陛下以丞相何如人？”	Viên Áng tiến lên nói: “Bệ hạ cho Thừa tướng là người thế nào?” Hoàng thượng đáp: “Bề tôi của xã tắc.” Áng nói: “Giáng hầu là bề tôi có công, không phải bề tôi xã tắc.
上 曰：“社稷臣。”盎曰：“绛侯所谓功臣，非社稷臣，社稷臣主在与 在， 主亡与亡。	Bề tôi xã tắc, chủ còn mình còn, chủ mất mình mất.
方吕 后时，诸吕用事，擅相王，刘氏不绝如带。	Thời Lã hậu, người họ Lã nắm quyền, tự xưng tướng xưng vương, họ Lưu không dứt nhưng chỉ như chiếc đai.
是时绛侯为太尉，主兵 柄，弗能正。	Bấy giờ Giáng hầu làm Thái úy, nắm binh quyền, không thể chỉnh đốn.
吕后崩，大臣相与共畔诸吕，太尉主兵，適会其成功， 所谓功臣，非社稷臣。	Lã hậu băng, đại thần cùng phản họ Lã, Thái úy cầm binh quyền, đúng lúc được thành công, đó là bề tôi có công, không phải bề tôi xã tắc.
丞相如有骄主色。	Thừa tướng có vẻ kiêu ngạo với chúa.
陛下谦让，臣主失礼，窃为 陛下不取也。”後朝，上益庄，丞相益畏。	Bệ hạ khiêm nhượng, vua tôi thất lễ, thần trộm vì bệ hạ cho là không được.” Về sau thiết triều, hoàng thượng ngày càng trang nghiêm, Thừa tướng ngày càng thêm nể sợ.
已而绛侯 望袁盎曰：“吾与而兄善，今兒廷毁我！”盎遂不 谢。	Rồi Giáng hầu trách Viên Áng rằng: “Ta với anh mày vốn thân thiết, nay nhãi ranh ngươi lại hủy báng ta giữa triều đình!” Áng không tạ lỗi.
及绛侯免相之国，国人上书告以为反，徵系清室， 宗室诸公莫敢为言，唯袁盎明绛侯无罪。	Khi Giáng hầu bị phế bỏ nước phong của Tướng quốc, người trong nước dâng thư tố cáo Giáng hầu làm phản, bị bắt trói hạ ngục, các công khanh trong tông thất không ai dám nói đỡ, chỉ có Viên Áng chứng minh Giáng hầu vô tội.
绛 侯得释，盎颇有力。	Giáng hầu được thả, đều do công của Áng.
绛侯乃大与盎结交。	Giảng hầu bèn kết giao thân tình với Áng.
淮南厉王朝，杀辟阳侯，居处骄甚。	Hoài Nam Lệ vương vào chầu, giết Tịch Dương hầu, cư xử rất ngạo ngược.
袁盎谏曰：“诸侯大骄必生 患，可適削地。”上弗用。	Viên Áng can rằng: “Chư hầu quá kiêu ắt sinh họa, cần biếm trích, tước đất phong.” Hoàng thượng không nghe.
淮南王益横。	Hoài Nam vương càng hoành hành.
及棘蒲侯柴武太子谋反事 觉，治，连淮南王，淮南王徵，上因迁之蜀，轞车传送。	Đến khi Thái tử Sài Vũ của Cúc Bồ hầu mưu phản bị lộ, trị tội, liên quan đến Hoài Nam vương, Hoài Nam vương bị triệu về, Hoàng thượng nhân đó đày ra đất Thục, dùng xe tù đưa đi.
袁盎时为中 郎将，乃谏曰：“陛下素骄淮南王，弗稍禁，以至此，今又暴摧折 之。	Bấy giờ Viên Áng làm Trung lang tướng, bèn can rằng: “Bệ hạ vốn dung túng Hoài Nam vương, không hề cấm đoán, nay đến nỗi này, xử quá mạnh tay.
淮南王为人刚，如有遇雾露行道死，陛下竟为以天下之大弗能 容，有杀弟之名，柰何？”上弗听，遂行之。	Hoài Nam vương là người cương liệt, nếu nhiễm sương móc chết trên đường đi, bệ hạ sẽ bị cho là vì thiên hạ không dung người, mang tiếng giết em thì sao.” Hoàng thượng không nghe, vẫn làm như cũ.
淮南王至雍，病死，闻，上辍食，哭甚哀。	Hoài Nam vương đến đất Ung, ốm chết, nghe tin, Hoàng thượng bỏ ăn, khóc rất đau đớn.
盎入，顿首请罪。	Áng vào, dập đầu nhận tội.
上 曰：“以不用公言至此。”盎曰：“上自宽，此往事，岂可悔哉！	Hoàng thượng nói: “Vì không nghe lời ông mới nên nỗi này.” Áng nói: “Hoàng thượng xin bớt thương đau, chuyện đã qua, có hối được đâu!
且 陛下有高世之行者三，此不足以毁名。”上曰：“吾高世行三者何 事？”盎曰：“陛下居代时，太后尝病，三年，陛下不交睫，不解 衣，汤药非陛下口所尝弗进。	Vả lại bệ hạ đã làm ba việc vượt hơn người đời, chuyện này không đủ để hủy danh tiếng bệ hạ.” Hoàng thượng hỏi: “Ta có ba việc gì vượt hơn người đời?” Áng đáp: “Khi bệ hạ ở đất Đại, Thái hậu từng mắc bệnh, ba năm trời, bệ hạ không chợp mắt, không thay quần áo, thuốc thang bệ hạ chưa nếm thử thì chưa dâng.
夫曾参以布衣犹难之，今陛下亲以王者 脩之，过曾参孝远矣。	Xét Tăng Sâm là kẻ áo vải còn khó làm được, nay bệ hạ thân là vương giả còn làm được, hiếu hơn Tăng Sâm nhiều lắm.
夫诸吕用事，大臣专制，然陛下从代乘六传驰 不测之渊，虽 贲育之勇 不及陛下。	Xét họ Lã chuyên quyền, đại thần độc đoán, nhưng bệ hạ từ đất Đại qua sáu lần dịch trạm, vượt vực sâu khôn dò, dẫu dũng như Mạnh Bôn, Hạ Dục cũng không bằng bệ hạ.
陛 下至代邸，西向让天子位者再，南面让天子位者三。	Bệ hạ đến dinh của Đại vương, hai lần quay mặt về tây nhường ngôi thiên tử, ba lần quay mặt về nam nhường ngôi thiên tử.
夫许由一让，而 陛下五以天下让，过许由四矣。	Xét Hứa Do nhường một lần, còn bệ hạ nhường thiên hạ năm lần, hơn Hứa Do bốn lần.
且陛下迁淮南王，欲以苦其志，使改 过，有司卫不谨，故病死。”於是上乃解，曰：“将柰何？”盎 曰：“淮南王有三子，唯在陛下耳。”於是文帝立其三子皆为王。	Vả bệ hạ đày Hoài Nam vương, để ông ấy thấy khổ, sửa đổi lỗi lầm, hữu ty bảo vệ không cẩn trọng, nên ốm chết.” Nghe vậy Hoàng thượng nguôi ngoai dần, nói: “Phải làm sao đây?” Áng đáp: “Hoài Nam vương có ba con trai, đều do bệ hạ thôi.” Thế rồi Văn đế lập ba người con làm vương.
盎 由此名重朝廷。	Áng nhờ đó danh tiếng thêm trọng vọng ở triều đình.
袁盎常引大体慷慨。	Viên Áng thường dẫn dụng những nguyên tắc lớn, trình bày khảng khái.
宦者赵同以 数幸，常害袁盎，袁盎患之。	Hoạn quan Triệu Đồng nhiều lần được sủng ái, từng hãm hại Viên Áng, Viên Áng lo lắng.
盎兄子种为常侍骑， 持节夹乘，说盎曰： “君与斗，廷辱之，使其毁不用。”孝文帝 出，赵同参乘，袁盎伏车前曰：“臣闻天子所与共六尺舆者，皆天下 豪英。	Con anh trai Áng tên Chủng làm Thường thị kỵ, cầm phù tiết đi hai bên xe, nói với Áng rằng: “Chú đấu với ông ta, hãy làm nhục trên triều, khiến hoàng thượng không theo lời hủy báng nữa.” Hiếu Văn đế ra ngoài cung, Triệu Đồng hầu trên xe, Viên Áng quỳ trước xe nói: “Thần nghe nói thiên tử ngồi cùng xe kẻ cao sáu thước, đó đều là anh hào thiên hạ.
今汉虽乏人，陛下独奈何与刀锯馀人载！”於是上笑，下赵 同。	Nay nhà Hán dẫu thiếu người, bệ hạ cũng đâu cần ngồi chung với hạng thiến sót!” Thế là Hoàng thượng bật cười, đuổi Triệu Đồng xuống.
赵同泣下车。	Triệu Đồng khóc dưới xe.
文帝从霸陵上，欲西驰下峻阪。	Văn đế từ Bá Lăng đi lên, muốn từ phía tây phóng ngựa xuống sườn núi.
袁盎骑，并车揽辔。	Viên Áng cưỡi ngựa, ngồi cùng xe cầm dây cương.
上曰：“将 军怯邪？”盎曰：“臣闻千金之子坐不垂堂， 百金之子不骑衡， 圣主不乘危而徼幸。	Hoàng thượng hỏi: “Tướng quân có sợ không?” Áng đáp: “Thần nghe nói, con của nhà có ngàn vàng không ngồi dưới xà nhà, con của nhà có trăm vàng không ngồi dựa lan can, bậc thánh chúa không mạo hiểm để cầu may.
今陛下骋六騑， 驰下峻山，如有马惊车败，陛下纵自轻，柰高庙、太后 何？”上乃止。	Nay bệ hạ ruổi xe sáu ngựa phóng xuống sườn núi cao, nếu ngựa sợ, xe hỏng, bệ hạ xem nhẹ bản thân, còn Cao miếu, Thái hậu thì sao?” Hoàng thượng bèn dừng.
上幸上林，皇后、慎夫人从。	Hoàng thượng đến vườn Thượng Lâm, hoàng hậu và Thận phu nhân đi theo.
其在禁中，常同席坐。	Ở trong cung cấm, hoàng hậu và Thận phu nhân thường ngồi chung chiếu.
及坐，郎署 长布席，袁盎引卻慎夫人坐。	Đến khi ngồi, Lang thị trưởng trải chiếu, Viên Áng dẫn Thận phu nhân ngồi lui xuống.
慎夫人怒，不肯坐。	Thận phu nhân giận, không chịu ngồi.
上亦怒，起，入禁中。	Hoàng thượng cũng giận, đứng lên, vào cung cấm.
盎因前说曰：“臣 闻尊卑有序则上下和。	Áng nhân đó bước lên tâu: “Thần nghe nói cao thấp thứ tự thì trên dưới hài hòa.
今陛下既已立后，慎夫人乃妾，妾主岂可与同 坐哉！	Nay bệ hạ đã lập hoàng hậu, Thận phu nhân là thiếp, thiếp chủ há có thể ngồi chung!
適所以失尊卑矣。	Thế là làm mất tôn ty.
且陛下幸之，即厚赐之。	Vả lại bệ hạ sủng ái Thận phu nhân, ban thưởng nhiều của cải.
陛下所以为慎夫 人，適所以祸之。	Bệ hạ đối đãi với Thận phu nhân như thế, là gây họa cho phu nhân đó.
陛下独不见‘人彘’乎？”	Riêng bệ hạ không thấy 'lợn người' ư?” Thế là Hoàng thượng vui trở lại, triệu Thận phu nhân đến nói.
於是上乃说，召语慎夫人。	
慎夫人赐盎金五十斤。	Thận phu nhân tặng Áng năm mươi cân vàng.
然袁盎亦以数直谏，不得久居中，调为陇西都尉。	Nhưng Viên Áng nhiều lần can ngăn thẳng thắn, nên không được ở lâu trong triều, bị chuyển đi làm Đô úy ở Lũng Tây.
仁爱士卒，士卒皆争为死。	Áng yêu thương sĩ tốt, sĩ tốt đều tranh nhau dám chết.
迁为齐相。	Được thăng làm Tướng quốc nước Tề.
徙为吴相，辞 行，种谓盎曰：“吴王骄日久，国多奸。	Rồi sang làm Tướng quốc nước Ngô, từ biệt lên đường, Chủng nói với Áng: “Ngô vương kiêu căng đã lâu, trong nước nhiều kẻ gian nịnh.
今苟欲劾治，彼不上书告 君，即利剑刺君矣。	Nay nếu muốn hạch tội trừng trị, họ không dâng thư vu cáo chú, sẽ dùng kiếm sắc đâm chú.
