第五回。	Hồi thứ năm.
扶正统上公觐阙。	Phò chính thống, thượng công vào điện.
缔邻婚公主出车。	Kết duyên lành, công chúa ra xe.
且说，杜世龙闻整言有厚于王底意思，因谓整曰：「公所行虽仁义，而其迹则残贼也。	Lại nói, Đỗ Thế Long nghe lời lẽ Chỉnh có ý hậu với chúa, bèn nhân đó nói với Chỉnh rằng: - Việc ông đã làm, tiếng làm nhân nghĩa, nhưng xét rõ ra thì lại là tàn hại!
公今日回山倒海之势，诚得助于贵国，而公出身之始，典兵封侯，畴非王家之恩。	Ngày nay ông có cái thế nghiêng non lật biển, quả thật là nhờ vào sự giúp đỡ của quý quốc (chỉ Tây Sơn). Nhưng khi ông mới xuất thân, nào cầm quân, nào phong hầu, thử hỏi có cái gì không phải là ơn của nhà chúa?
公此举以灭郑扶黎为名，则甚矣！	Chuyến này ông lấy tiếng "phù Lê, diệt Trịnh" để kéo quân ra, thật là quá lắm!
倘以王家胁制皇家为有过，何不念二百年尊扶之功！	Nếu bảo nhà chúa hiếp chế nhà vua là việc có lỗi, thì sao lại không nghĩ đến cái công tôn phò hai trăm năm trời?
怀新而背旧，不义；索过而掩功，不仁，不义不仁谓之残贼。	Theo người mới mà phản người cũ là bất nghĩa; bới lỗi lầm để lấp công lao là bất nhân. Đã bất nghĩa, bất nhân tức là tàn hại.
大丈夫立身而可以残贼自居耶！」	Kẻ đại trượng phu lập thân, có thể tự mình đứng vào địa vị tàn hại được ư?
整面色如土，徐答曰：「封殖者，一己之私恩；纲常者，天下之大义，吾为尊扶而举，所以扶植纲常，自是至仁大义，而君反以为残贼，无乃太甚耶！	Chỉnh nghe nói, sắc mặt tái mét, lặng đi hồi lâu mới đáp: - Gây dựng là ơn riêng của một người, cương thường là nghĩa lớn của thiên hạ. Tôi làm cái việc tôn phò ấy, là cốt để chống đỡ cho nền cương thường. Đó là một việc nhân nghĩa vô cùng lớn lao, vậy mà ông lại cho là tàn hại, chẳng phải là ông nói nhau quá tệ ư?
非吾见之差，则公言之过也。」	Nếu tôi không nghĩ sai, thì chắc là ông nói quá lời đấy!
龙曰：「君本自尊，何待尊扶？	Long nói: - Nhà vua vốn đã tôn quý sẵn rồi, cần gì đợi ông tôn phò nữa?
不过假此以遂其攘夺之谋耳！	Chẳng qua ông cũng chỉ mượn cớ ấy để làm cho trôi cái mưu cướp bóc đó thôi.
然国家如金瓯无缺，一旦公无故引别人来，戕其主帅，贼其人民，天下之人且以公为豺狼枭獐，残贼未为甚也！	Nhưng mà, nhà nước đang như chiếc âu vàng lành lặn, bỗng dưng vô cớ ông đưa người ngoài đến đây, làm hại chủ suý, làm hại nhân dân; người trong thiên hạ nhất định sẽ còn cho ông là beo, sói, diều quạ. Bảo là tàn hại cũng chưa phải là quá đáng.
公今倚外国，如狐托虎威，恐人心思郑，其事且变，彼一旦舍公而去，公以渺然之身，负通天之罪，何以自立于天下？」	Nay ông dựa vào thế lực nước ngoài, cũng giống như cáo mượn oai hùm. E rằng lòng người còn nhớ họ Trịnh, chắc sẽ có ngày sinh biến. Vả lại, mai đây người ta bỏ ông mà về; bấy giờ ông lấy cái thân cỏn con để cõng cái tội tầy trời, làm sao mà đứng vững được với thiên hạ?
