范雎者，魏人也，字叔。	Phạm Thư Phạm Thư người nước Ngụy, tự là Thúc.
游说诸侯，欲事魏王，家贫无以自资， 乃先事魏中大夫 须贾。	[Phạm Thư] du thuyết chư hầu, muốn thờ Ngụy vương, nhà nghèo không có gì làm vốn, bèn trước tiên phụng sự quan Trung đại phu nước Ngụy là Tu Giả.
须贾为魏昭王使於齐，范雎 从。	Ngụy Chiêu vương phái Tu Giả đi sứ Tề, Phạm Thư đi theo.
留数月，未得报。	Ở lại Tề mấy tháng, chẳng được kết quả gì.
齐襄王闻雎辩口，乃使人赐雎金 十斤及牛酒，雎辞谢不敢受。	Tề Tương vương nghe nói Thư giỏi biện luận, bèn sai người ban cho Thư mười cân vàng cùng thịt bò rượu ngon, Thư từ tạ không dám nhận.
须贾知之，大怒，以为雎持魏国阴事告 齐，故得此馈，令雎受其牛酒，还其金。	Tu Giả biết việc, cả giận, cho là Thư đem việc của Ngụy ngầm nói cho Tề, mới được ban tặng như thế, sai Thư chỉ nhận thịt bò và rượu, trả lại vàng.
既归，心怒雎，以告魏相。	Về nước, Giả thầm giận Thư, đem việc ấy nói với Tể tướng nước Ngụy.
魏相，魏之诸公子，曰魏齐。	Tể tướng nước Ngụy là công tử của Ngụy, tên Ngụy Tề.
魏齐大怒，使舍人笞击雎，折胁摺齿。	Ngụy Tề cả giận, sai cá nhân đem roi đánh Thư gãy xương sườn, rụng cả răng.
雎详死，即卷以箦， 置厕中。	Thư vờ chết, bị cuốn vào chiếu, vứt ra nhà xí.
宾客饮者醉，更溺雎， 故僇 辱以惩後，令无妄言者。	Có tân khách uống rượu say, tiểu tiện lên Thư, cố ý sỉ nhục để răn kẻ khác, sau này chớ nói bừa nữa.
雎从箦中谓守者曰：“公能出我，我必厚谢 公。”守者乃请出弃箦中死人。魏齐醉，曰：“可矣。”范雎得出。	Thư ở trong chiếu nói với người trông nhà xí: “Ông có thể cứu tôi ra, tôi ắt hậu tạ ông.” Người trông nhà xí xin đem vứt người chết trong chiếu ra ngoài, Ngụy Tề đang say, nói: “Được.” Phạm Thư thoát được.
後魏齐悔，复召求之。	Sau, Ngụy Tề hối lại, sai người tìm bắt.
魏人郑安平闻之，乃遂操范雎亡，伏匿，更名 姓曰张禄 当此时，秦昭王使谒者王稽於魏。	Triệu An Bình người Ngụy biết chuyện, bèn đưa Phạm Thư đi trốn. Thư mai danh ẩn tích, đổi họ tên thành Trường Lộc. Bấy giờ Tần Chiêu vương sai yết giả Vương Kê sang Ngụy.
郑安平诈为卒，侍王稽。	Trịnh An Bình giả làm lính hầu.
王稽问：“魏有贤人可与俱西游者乎？”郑安平曰：“臣 里中有张禄先生，欲见君，言天下事。	Vương Kê hỏi: “Nước Ngụy có ai hiền tài có thể cùng ta du ngoạn phía tây không?” Trịnh An Bình đáp: “Trong làng tôi có Trường Lộc tiên sinh, muốn gặp ngài, nói việc thiên hạ.
其人有仇，不敢昼见。”王稽 曰：“夜与俱来。”郑安平夜与张禄见王稽。	Người này có kẻ thù, không dám gặp ban ngày.” Vương Kê nói: “Ban đêm ngươi cùng người đó đến đây.” Đêm, Trịnh An Bình và Trường Lộc đến gặp Vương Kê.
语未究，王稽知范雎 贤，谓曰：“先生待我於三亭之南。”与私约而去。	Nói chưa dứt, Vương Kê biết Phạm Thư hiền năng, bảo rằng: “Tiên sinh hãy đợi ta ở phía nam Tam Đình.” Hẹn riêng với nhau rồi đi.
王稽辞魏去，过载范雎入秦。	Vương Kê từ biệt Ngụy trở về, qua Tam Đình chở Phạm Thư sang Tần.
至湖， 望见车骑从西 来。范雎曰：“彼来者为谁？”王稽曰：“秦相穰侯东行县邑。”范 雎曰：“吾闻穰侯专秦权，恶内诸侯客， 此恐辱我，我宁且匿车中。”有顷，穰侯果至，劳王稽，因 立车而语曰：“关东有何变？”	Đến đất Hồ, trông thấy xe ngựa từ phía tây đến, Phạm Thư hỏi: “Ai đang đến thế?” Vương Kê đáp: “Nhương hầu, Tể tướng nước Tần, sang phía đông tuần tra huyện ấp.” Phạm Thư nói: “Tôi nghe nói Nhương hầu chuyên quyền ở Tần, ghét tân khách đến từ chư hầu, sợ ông ta làm nhục tôi, thà tôi tạm ẩn trong xe.” Lát sau, quả nhiên Nhương hầu tới, úy lạo Vương Kê, rồi đứng trên xe hỏi: “Quan đông có gì thay đổi không?” Vương Kê đáp: “Không có.” Lại hỏi Vương Kê: “Yết giả có dẫn tân khách nào của chư hầu đến không?
曰：“无有。”又谓王稽曰：“谒君 得无与诸侯客子俱来乎？无益，徒乱人国耳。”王稽曰：“不 敢。”即别去。	Vô ích thôi, đều bọn làm loạn nước cả.” Vương Kê đáp: “Không dám.” Nói xong, từ biệt lên đường.
范雎曰：“吾闻穰侯智士也，其见事迟，乡者疑车中 有人，忘索之。”於是范雎下车走， 曰：“此必悔之。”行十馀里，果使骑还索车中，无客，乃已。	Phạm Thư nói: “Tôi nghe Nhương hầu là kẻ trí, nhưng thấy việc hơi chậm, nãy nghi trong xe có người nhưng quên kiểm tra.” Thế rồi Phạm Thư xuống xe đi bộ, nói: “Ông ta ắt hối hận vì việc này.” Đi được hơn mười dặm, quả nhiên Nhương hầu sai người quay lại lục soát xe, không thấy khách nào, bèn thôi.
王稽 遂与范雎入咸阳。	Vương Kê liền cùng Phạm Thư vào Hàm Dương.
已报使，因言曰：“魏有张禄先生，天下辩士也。	Báo cáo xong việc đi sứ, Vương Kê nhân nói: “Ngụy có Trương Lộc tiên sinh, biện sĩ trong thiên hạ.
曰‘秦王之国 危於累卵， 得臣则安。	Ông ta nói: 'Nước của Tần vương nguy như chồng trứng, được người như tôi mới yên.
然不可以书传也’。	Nhưng không thể truyền đạt qua thư từ.'
臣故载来。”秦王弗信，使舍 食草具。待命 岁馀。	Nên thần chở ông ta về.” Tần vương không tin, sai ra ăn ở tại khách xá, đợi lệnh hơn năm trời.
当是时，昭王已立三十六年。	Bấy giờ, Chiêu vương đã lên ngôi được 36 năm.
南拔楚之鄢郢，楚怀王幽死於秦。	Phía nam hạ đất Yên, Dĩnh của Sở, Sở Hoài vương bị giữ rồi chết ở Tần.
秦东破齐。	Tần sang đông đánh phá Tề.
湣王尝称帝，後去之。	Tề Mẫn vương từng xưng đế, sau lại thôi.
数困三晋。	[Tần] mấy lần vây khốn Tam Tấn.
厌天下辩士，无所信。	[Tần Chiêu vương] ghét biện sĩ trong thiên hạ, không tin.
穰侯，华阳君， 昭王母宣太后之弟也；而泾阳君、高陵君皆昭王同母弟 也。	Nhưỡng hầu, tức Hoa Dượng quân, em Tuyên thái hậu, mẹ Tần Chiêu vương; còn Kinh Dương quân, Cao Lăng quân đều là em cùng mẹ Chiêu vương.
穰侯相，三人者更将，有封邑，以太后故，私家富重於王室。	Nhương hầu làm Tể tướng, ba người thay nhau cầm quân, có đất phong, nhờ Thái hậu nên gia tư giàu hơn vương thất.
及 穰侯为秦将，且欲越韩、魏而伐齐纲寿，欲以广其陶封。	Tới khi Nhương hầu cầm quân Tần, định vượt Hàn và Ngụy đánh đất Cương, đất Thọ của Tề, muốn mở rộng đất phong là ấp Đào.
范雎乃上书 曰： 臣闻明主立政，有功者不得不 赏，有能者不得不官，劳大者其禄厚，功多者其爵尊，能治众者其官 大。	Phạm Thư bèn dâng thư: “Thần nghe nói minh chúa kiến lập chính sự, người có công không thể không tưởng thưởng, người có tài không thể không làm quan, người vất vả thì lộc nhiều, người công lớn thì tước cao, người có thể trị dân thì giữ chức lớn.
故无能者不敢当职焉，有能者亦不得蔽隐。	Vì thế kẻ không tài cán không dám nhận chức, người có tài cũng không bị ẩn giấu.
使以臣之言为可，原 行而益利其道；以臣之言为不可，久留臣无为也。	Giả sử cho lời thần là phải, xin thi hành để làm lợi cho đạo trị quốc; còn nghĩ lời thần là sai, dẫu giữ thần lại lâu cũng vô ích.
语曰：“庸主赏所 爱而罚所恶；明主则不然，赏必加於有功，而刑必断於有罪。”	Tục ngữ nói: 'Chúa tầm thường thưởng người mình yêu, phạt người mình ghét; minh chúa không làm vậy, thưởng ắt tặng người có công, phạt ắt xử kẻ có tội.'
今臣 之胸不足以当椹质， 而要不足以待斧钺，岂敢以疑事尝试於王哉！	Nay bụng thần không đủ chịu tên đạn, thắt lưng không đủ chịu búa rìu, há dám đem những việc hồ nghi thử nói với đại vương ư?
虽 以臣为贱人而轻辱，独不重任臣者之无反复於王邪？	Tuy cho thần là kẻ hèn hạ mà khinh nhục, lẽ nào không tín nhiệm người nhiều lần tiến cử thần với đại vương ư?
且臣闻周有砥砨，宋有结绿，梁有县藜， 楚有和朴，此四宝者，土之所 生，良工之所失也，而为天下名器。	Vả thần nghe Chu có ngọc Chỉ ách, Tống có ngọc Kết lục, Lương có ngọc Huyện lê, Sở có ngọc họ Hòa, bốn vật báu ấy, do đất sinh ra, bị thợ giỏi vứt, nhưng sau vẫn vang danh thiên hạ.
然则圣王之所弃者，独不足以厚 国家乎？	Vậy người bị quân vương vứt bỏ, há không đủ giúp ích quốc gia ư?
臣闻善厚家者取之於国，善厚国者取之於诸侯。	Thần nghe người khéo khiến nhà mình giàu thì lấy ở nước, người khéo khiến nước giàu thì lấy ở chư hầu.
天下有明主则诸 侯不得擅厚者，何也？	Thiên hạ có minh chúa, chư hầu không thể một mình giàu được. Tại sao vậy?
